MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"bbtree"	0.87536	1.14766	0.443106	1.15215	34257.8	8.34186	14.5695	31
"permutation (incr. sorting)"	0.976606	1.02641	0.0436019	11.8122	7501	0.814685	66.5245	21
"permutation (pref. index)"	0.906085	1.11334	0.313379	2.06612	73580.5	4.54791	6.65383	23
"vptree: triangle inequality"	0.935169	1.0609	0.115157	0.306242	7824.21	31.201	63.4088	33
"bbtree"	0.831631	1.21489	0.444456	0.57722	17202.6	17.0515	29.0067	31
"permutation (incr. sorting)"	0.969885	1.03485	0.0846868	11.1101	6669	0.887641	74.8238	21
"permutation (pref. index)"	0.84914	1.19186	0.554116	0.921228	34256	10.174	13.7806	24
"vptree: triangle inequality"	0.844107	1.17415	0.369024	0.0649109	1579.3	147.462	307.82	34
"bbtree"	0.802867	1.29259	0.783693	0.29075	8586.07	33.8987	58.1327	31
"permutation (incr. sorting)"	0.975199	1.02127	0.0267731	11.1	5837	0.887973	85.4891	21
"permutation (pref. index)"	0.820674	1.24334	0.762484	0.436988	16526.6	22.5437	30.2586	24
"vptree: triangle inequality"	0.761948	1.31302	0.691127	0.0179194	368.229	538.953	1340.69	34
"bbtree"	0.776189	1.32909	0.96634	0.150504	4321.66	63.5134	115.533	30
"permutation (incr. sorting)"	0.9687	1.03267	0.0775419	10.6455	5006	0.898428	99.6804	21
"permutation (pref. index)"	0.785432	1.3105	0.903583	0.262847	10198.4	36.3186	49.0016	24
"vptree: triangle inequality"	0.689783	1.47025	1.18542	0.0110137	191.503	857.404	2601.62	34
"bbtree"	0.743517	1.42015	1.59132	0.0792817	2177.38	124.46	229.307	30
"permutation (incr. sorting)"	0.955371	1.05152	0.153414	10.4496	4174	0.949898	119.55	21
"permutation (pref. index)"	0.730494	1.45729	1.89157	0.146392	5757.27	66.7112	85.7855	24
"vptree: triangle inequality"	0.567571	1.93639	3.38741	0.00520367	75.729	1851.02	6578.78	34
"bbtree"	0.713077	1.52	1.69885	0.041461	1099.74	238.264	453.816	31
"permutation (incr. sorting)"	0.947552	1.06522	0.17712	9.9884	3342	0.994401	149.312	21
"permutation (pref. index)"	0.688646	1.59248	2.3834	0.108096	4438.84	91.5762	112.858	23
"vptree: triangle inequality"	0.47076	2.77186	15.3774	0.00374	48.6501	2568.92	10237.6	34
"bbtree"	0.686825	1.57927	9.23974	0.0211626	562.403	454.632	887.45	31
"permutation (incr. sorting)"	0.930911	1.08095	0.158339	9.97859	2511	0.970257	198.726	21
"permutation (pref. index)"	0.665381	1.68742	3.49347	0.0803098	3407.22	121.328	147.28	23
"vptree: triangle inequality"	0.476535	2.89075	17.207	0.0038062	46.7779	2462.92	10656.9	34
"bbtree"	0.650627	1.78693	5.59892	0.0121262	300.746	810.366	1659.95	31
"permutation (incr. sorting)"	0.88866	1.14706	0.624815	9.42638	1679	1.05431	297.201	21
"permutation (pref. index)"	0.61997	1.89691	7.1148	0.0473857	1931.39	210.496	255.133	24
"vptree: triangle inequality"	0.454308	3.23097	29.7119	0.0034402	43.8007	2785.3	11378.3	34
"bbtree"	0.625535	1.80157	13.2113	0.0079308	169.437	1207.51	2945.28	30
"permutation (incr. sorting)"	0.828427	1.26083	1.05344	9.2167	847	1.05329	589.138	21
"permutation (pref. index)"	0.604502	2.09579	15.6612	0.0422688	1892.47	225.228	256.917	24
"vptree: triangle inequality"	0.439731	3.53183	48.9395	0.0034092	43.7782	2754.06	11390	34
