MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"bbtree"	0.816413	1.37377	3.57248	23.6701	35262.2	4.38208	14.1564	719
"permutation (incr. sorting)"	0.730833	1.43925	1.40118	29.6457	29956	3.50084	16.6578	493
"permutation (pref. index)"	0.657537	1.80103	4.00657	26.3962	115547	3.95377	4.34993	684
"vptree: triangle inequality"	0.901971	1.1005	0.209967	38.4971	158799	2.69721	3.14512	732
"bbtree"	0.789873	1.41933	2.95595	12.0916	18205.8	8.71103	27.4072	719
"permutation (incr. sorting)"	0.707578	1.5146	2.11757	27.9876	26629	3.77887	18.739	493
"permutation (pref. index)"	0.546693	2.44892	10.0877	8.58051	37297.3	10.9817	11.8989	684
"vptree: triangle inequality"	0.6983	1.41671	0.958177	14.3627	58204.8	7.32718	8.56636	733
"bbtree"	0.756081	1.53091	4.56879	6.11259	9282.2	17.1885	53.7568	718
"permutation (incr. sorting)"	0.711098	1.52622	1.84523	25.3178	23302	4.15855	21.4145	493
"permutation (pref. index)"	0.486991	3.08226	14.1375	4.46031	19267.7	22.4153	24.6134	686
"vptree: triangle inequality"	0.574145	1.75061	2.18472	6.85634	27529.6	15.3209	18.1225	705
"bbtree"	0.726621	1.64916	5.86673	2.94278	4657.36	35.4416	107.118	719
"permutation (incr. sorting)"	0.679733	1.6405	2.65704	23.2944	19976	4.51685	24.98	493
"permutation (pref. index)"	0.427681	4.19402	26.0579	2.78987	11983.1	37.369	41.3805	684
"vptree: triangle inequality"	0.470184	2.27835	3.81223	3.73804	14815.8	27.8968	33.6658	702
"bbtree"	0.665807	1.94575	12.2758	1.29305	2288.32	81.3946	218.07	718
"permutation (incr. sorting)"	0.677943	1.6319	2.58333	20.472	16649	5.1481	29.9718	493
"permutation (pref. index)"	0.373701	5.47219	43.9137	1.67559	7405.91	60.7094	65.4542	685
"vptree: triangle inequality"	0.394284	2.909	6.2618	2.36798	9268.9	44.2652	53.5952	731
"bbtree"	0.62804	2.15218	14.0375	0.594665	1134.86	176.022	439.48	718
"permutation (incr. sorting)"	0.637039	1.81234	3.21279	18.7345	13322	5.64112	37.4568	493
"permutation (pref. index)"	0.318986	8.02859	99.0507	0.954104	4140.08	104.082	113.503	685
"vptree: triangle inequality"	0.343311	3.73434	9.63272	1.28536	4952.38	81.4719	100.691	695
"bbtree"	0.584103	2.49254	19.5557	0.284364	575.247	366.806	867.325	719
"permutation (incr. sorting)"	0.611537	1.99005	4.89775	16.2393	9996	6.44006	49.92	493
"permutation (pref. index)"	0.275403	14.2789	178.478	0.467343	2031.34	219.832	241.752	684
"vptree: triangle inequality"	0.260146	7.18973	36.4709	0.445338	1655.66	233.082	299.535	694
"bbtree"	0.545661	2.9092	43.1581	0.142526	301.111	734.566	1657.01	718
"permutation (incr. sorting)"	0.581468	2.22971	7.12159	13.3713	6669	7.86226	74.8238	493
"permutation (pref. index)"	0.275935	14.5581	224.717	0.432712	1911.19	236.848	253.928	685
"vptree: triangle inequality"	0.214038	15.4497	106.192	0.127403	445.17	818.097	1114.36	734
"bbtree"	0.498203	3.49509	50.1683	0.0805232	166.933	1289.21	2989.05	718
"permutation (incr. sorting)"	0.48658	3.14151	17.1494	11.7016	3342	8.96496	149.312	493
"permutation (pref. index)"	0.243027	23.1874	409.928	0.232241	1015.18	399.245	435.188	685
"vptree: triangle inequality"	0.166212	71.4086	1157.38	0.024451	76.0868	4221.4	6552.56	708
