MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"bbtree"	1	1	0	17.4858	9948.65	0.408651	0.904142	55
"permutation (incr. sorting)"	0.826151	1.22775	0.548086	0.853614	646	8.34595	13.9319	38
"permutation (pref. index)"	0.895785	1.12525	0.246726	5.26087	6403.83	1.39094	1.44285	53
"vptree: triangle inequality"	0.990508	1.00644	0.00873442	2.90284	3752.42	2.45245	2.39507	53
"bbtree"	1	1	0	17.5797	9949.25	0.407247	0.904534	55
"permutation (incr. sorting)"	0.806448	1.25749	0.582481	0.772661	575	9.25488	15.6522	38
"permutation (pref. index)"	0.834579	1.217	0.463222	4.06383	4862.42	1.76301	1.85852	53
"vptree: triangle inequality"	0.909843	1.07593	0.118729	1.90007	2467.91	3.76281	3.64819	53
"bbtree"	0.994594	1.00421	0.00545914	14.1971	8180.93	0.502299	1.10102	55
"permutation (incr. sorting)"	0.767231	1.32257	0.67551	0.689376	505	10.3234	17.8218	38
"permutation (pref. index)"	0.659602	1.61806	1.62635	2.037	2459.15	3.46428	3.64297	53
"vptree: triangle inequality"	0.784433	1.23667	0.45184	1.01584	1327.57	6.90382	6.69107	53
"bbtree"	0.915277	1.09742	0.201838	6.6578	4028.74	1.07009	2.23096	55
"permutation (incr. sorting)"	0.760937	1.36301	0.900029	0.615123	436	11.5946	20.6422	38
"permutation (pref. index)"	0.531501	2.10131	3.01292	1.035	1270.64	6.66258	6.90893	53
"vptree: triangle inequality"	0.69821	1.41484	0.853568	0.749401	970.235	9.34868	9.10324	53
"bbtree"	0.773175	1.57874	2.38995	3.01455	1998.82	2.36582	4.49824	55
"permutation (incr. sorting)"	0.741142	1.39839	0.963511	0.535185	366	13.3302	24.5902	38
"permutation (pref. index)"	0.442147	2.74932	5.62443	0.540326	638.762	12.5374	13.4759	53
"vptree: triangle inequality"	0.604301	1.66141	1.40975	0.551188	721.456	12.775	12.3439	53
"bbtree"	0.680308	2.49583	41.4933	1.42471	1015.32	4.988	8.87557	55
"permutation (incr. sorting)"	0.720542	1.46447	1.17437	0.45877	295	15.5771	30.5085	38
"permutation (pref. index)"	0.327318	4.36425	13.3636	0.317724	384.688	21.9899	22.638	53
"vptree: triangle inequality"	0.509807	2.10519	3.13453	0.346996	452.695	20.5426	19.8541	53
"bbtree"	0.604635	3.37197	76.9972	0.689052	508.649	10.3536	17.6283	55
"permutation (incr. sorting)"	0.654681	1.67877	1.84885	0.381133	225	18.7404	40	38
"permutation (pref. index)"	0.231235	7.34042	25.5732	0.155378	191.076	46.7249	47.6638	53
"vptree: triangle inequality"	0.470332	2.516	5.8661	0.268014	348.082	26.1474	25.378	53
"bbtree"	0.544418	4.52188	103.506	0.351932	260.869	20.2868	34.5894	55
"permutation (incr. sorting)"	0.610259	1.92211	2.8575	0.31305	156	22.8029	57.6923	38
"permutation (pref. index)"	0.198802	10.2572	43.1861	0.0857743	106.155	74.6933	76.3114	53
"vptree: triangle inequality"	0.363523	4.17448	16.211	0.151634	199.281	46.5239	44.877	53
"bbtree"	0.504412	5.62783	135.789	0.194088	146.712	36.7366	61.3358	55
"permutation (incr. sorting)"	0.50876	2.67133	7.03361	0.235538	86	30.2167	104.651	38
"permutation (pref. index)"	0.159404	17.7576	104.658	0.0599532	77.2308	111.854	110.729	53
"vptree: triangle inequality"	0.296143	8.26075	64.0553	0.0755599	99.1649	94.0874	90.7454	53
