MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"multiprobe lsh"	0.899826	1.55129	114.069	0.292442	1031.89	19.7816	107.117	530
"permutation (incr. sorting)"	0.922419	1.07776	0.144879	2.80007	2249	2.06877	49.6585	50
"permutation (pref. index)"	0.824262	1.20831	0.456228	1.05044	18246	5.35349	5.97285	69
"vptree: triangle inequality"	0.978887	1.01578	0.0236751	0.166926	2377.07	34.6186	47.0229	70
"multiprobe lsh"	0.785298	2.73155	250.955	0.170016	296.21	33.7729	366.264	535
"permutation (incr. sorting)"	0.933131	1.06371	0.101461	2.64684	2001	2.17548	55.8131	50
"permutation (pref. index)"	0.769631	1.30233	0.704288	0.401079	7017.37	13.3173	14.6924	69
"vptree: triangle inequality"	0.889177	1.09487	0.147922	0.0576659	792.578	99.4844	140.456	70
"multiprobe lsh"	0.752917	3.41013	334.981	0.195017	226.022	30.1981	491.349	536
"permutation (incr. sorting)"	0.91911	1.08106	0.152781	2.56291	1753	2.25822	63.7091	50
"permutation (pref. index)"	0.688675	1.47677	1.12926	0.231611	4294.32	23.7675	24.6756	69
"vptree: triangle inequality"	0.763364	1.24483	0.394321	0.0303982	397.904	189.122	280.023	70
"multiprobe lsh"	0.640007	6.55629	482.459	0.15352	128.702	37.952	865.299	538
"permutation (incr. sorting)"	0.888884	1.11456	0.198677	2.48294	1505	2.32371	74.2073	50
"permutation (pref. index)"	0.6482	1.6096	1.65674	0.146424	2603.87	36.4367	39.4313	69
"vptree: triangle inequality"	0.616049	1.54307	1.04974	0.015971	194.009	359.232	575.622	70
"multiprobe lsh"	0.511625	16.4296	751.149	0.205306	86.4004	28.131	1276.4	539
"permutation (incr. sorting)"	0.873141	1.13561	0.29649	2.34598	1256	2.45845	88.9188	50
"permutation (pref. index)"	0.559927	1.89183	2.63516	0.0897839	1692.27	61.0775	63.0132	69
"vptree: triangle inequality"	0.461515	2.27255	3.81235	0.00820576	93.0444	690.72	1198.15	70
"multiprobe lsh"	0.386797	45.7827	1079.88	0.166597	67.8022	36.4919	1633.13	540
"permutation (incr. sorting)"	0.869538	1.14443	0.29305	2.29979	1008	2.50798	110.796	50
"permutation (pref. index)"	0.542509	2.09018	4.28039	0.0640588	1179.41	81.7003	84.4149	69
"vptree: triangle inequality"	0.371553	3.51393	15.1131	0.00536253	55.7411	1046.15	2002.87	70
"multiprobe lsh"	0.287859	106.117	1337.57	0.132523	61.287	45.1411	1816.13	541
"permutation (incr. sorting)"	0.86044	1.16846	0.348377	2.19907	760	2.63106	146.95	50
"permutation (pref. index)"	0.511022	2.23416	4.8763	0.049706	894.277	110.805	115.426	69
"vptree: triangle inequality"	0.281813	5.79776	145.222	0.003973	38.5702	1407.59	2891.85	70
"multiprobe lsh"	0.157686	323.434	1642.58	0.160447	56.6316	36.0999	1968.8	541
"permutation (incr. sorting)"	0.743846	1.36791	0.985714	2.10137	512	2.75549	218.129	50
"permutation (pref. index)"	0.484648	2.43751	7.04073	0.044909	856.703	125.281	127.704	69
"vptree: triangle inequality"	0.288474	5.85478	124.184	0.0040108	38.5233	1399.96	2898.46	70
"multiprobe lsh"	0.0548804	752.216	1920.88	0.110617	55.1197	51.7977	2018.32	541
"permutation (incr. sorting)"	0.616431	1.71775	2.40987	2.02307	264	2.84418	423.038	50
"permutation (pref. index)"	0.478979	2.64903	9.70805	0.0471976	923.329	116.693	114.549	69
"vptree: triangle inequality"	0.294765	5.87965	142.463	0.0039874	38.6094	1401.3	2890.77	70
