MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"multiprobe lsh"	0.893783	1.19334	1.16343	0.359771	1140.65	78.3468	436.088	810
"permutation (incr. sorting)"	0.73672	1.49858	2.00548	12.8001	9996	2.18788	49.92	255
"permutation (pref. index)"	0.771038	1.36309	1.07338	8.83558	151509	3.20436	3.30545	351
"vptree: triangle inequality"	0.967094	1.0254	0.0387677	5.36306	71008.9	5.26352	7.03088	364
"multiprobe lsh"	0.684645	3.40072	208.887	0.287064	641.654	100.075	766.101	811
"permutation (incr. sorting)"	0.727944	1.54865	2.95241	12.3751	8887	2.3396	56.1494	255
"permutation (pref. index)"	0.723426	1.53502	2.21895	3.50301	59577.9	7.91365	7.98884	351
"vptree: triangle inequality"	0.888857	1.09723	0.15109	1.92738	24539.1	15.0276	20.3404	355
"multiprobe lsh"	0.608874	6.24334	416.347	0.278476	573.059	103.623	863.933	812
"permutation (incr. sorting)"	0.710337	1.57807	2.36705	11.954	7778	2.37175	64.1553	255
"permutation (pref. index)"	0.663424	1.72065	3.92602	1.65324	28201.4	17.3679	17.6448	351
"vptree: triangle inequality"	0.736148	1.28846	0.498043	1.00941	12484.7	28.5061	39.9425	355
"multiprobe lsh"	0.484354	17.6503	754.659	0.258764	465.287	112.262	1068.2	812
"permutation (incr. sorting)"	0.658125	1.75108	3.11003	11.5473	6669	2.46896	74.8238	255
"permutation (pref. index)"	0.625794	1.87872	5.2397	1.11949	19401.5	23.5281	23.3159	351
"vptree: triangle inequality"	0.621621	1.50813	0.918262	0.588104	7120.68	48.8888	69.9661	355
"multiprobe lsh"	0.36159	59.4004	1146.51	0.261725	352.779	109.133	1407.11	829
"permutation (incr. sorting)"	0.666598	1.78476	6.96409	11.2881	5560	2.52604	89.7482	255
"permutation (pref. index)"	0.584402	2.08043	7.53801	0.948516	16316.1	28.2634	28.1557	351
"vptree: triangle inequality"	0.525351	1.80219	1.59173	0.360817	4295.52	79.5675	116.015	355
"multiprobe lsh"	0.297288	117.597	1408.77	0.242409	302.073	119.541	1622.12	824
"permutation (incr. sorting)"	0.633066	1.91065	4.75929	10.6442	4451	2.70695	112.11	255
"permutation (pref. index)"	0.561799	2.21589	6.07882	0.648232	11416.1	37.1535	36.2886	351
"vptree: triangle inequality"	0.404483	2.59255	4.23704	0.154455	1761	185.958	283.263	355
"multiprobe lsh"	0.212052	231.422	1602.62	0.21945	265.99	133.384	1867.92	818
"permutation (incr. sorting)"	0.596504	2.14088	6.91044	10.3368	3342	2.79736	149.312	255
"permutation (pref. index)"	0.523919	2.63206	15.7314	0.69273	12307.3	41.296	40.0959	351
"vptree: triangle inequality"	0.334243	3.38357	6.82291	0.0933984	1031.38	308.202	483.539	360
"multiprobe lsh"	0.158397	368.53	1754.14	0.303342	251.506	95.7409	1982.68	818
"permutation (incr. sorting)"	0.523807	2.71428	11.3874	9.62891	2233	2.99791	223.466	255
"permutation (pref. index)"	0.500092	2.8874	22.2467	0.365668	6418.95	58.6674	57.554	351
"vptree: triangle inequality"	0.250223	7.52504	42.6678	0.0291012	291.068	986.181	1713.41	368
"multiprobe lsh"	0.122391	488.135	1813.86	0.279769	247.282	104.213	2016.46	815
"permutation (incr. sorting)"	0.44663	3.83279	30.3856	9.69564	1124	2.96398	443.95	255
"permutation (pref. index)"	0.553689	2.35064	16.3118	0.451306	8022.17	52.0363	50.638	351
"vptree: triangle inequality"	0.17402	54.6225	7207.24	0.0052546	44.1299	5345.56	11293.3	355
