MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"bbtree"	0.763108	1.41764	2.595	0.25508	8458.12	8.6456	11.7201	4
"permutation (incr. sorting)"	0.77826	1.41762	1.8101	1.97552	1005	1.11823	98.5075	1
"permutation (pref. index)"	0.959932	1.05201	0.114214	11.4616	73778	0.199585	1.38064	0
"permutation (vptree)"	0.747089	1.51144	2.28295	0.656462	1005	3.34985	98.5075	5
"vptree: triangle inequality"	0.863306	1.13886	0.272286	0.207327	7567.7	10.5324	12.9778	3
"bbtree"	0.691709	1.64684	3.91432	0.126478	4223.28	17.2606	23.4454	4
"permutation (incr. sorting)"	0.670145	1.8318	5.73473	1.77646	510	1.23177	194.118	1
"permutation (pref. index)"	0.833284	1.2574	0.933338	2.41128	23361.9	0.882075	4.09495	0
"permutation (vptree)"	0.706292	1.66884	5.66428	0.392215	510	5.50526	194.118	5
"vptree: triangle inequality"	0.716221	1.3702	0.790469	0.0584585	2163.25	36.0099	44.0559	3
"bbtree"	0.624197	2.00865	11.9561	0.06464	2128.49	34.3553	46.4759	4
"permutation (incr. sorting)"	0.642563	2.03551	11.1235	1.70987	263	1.30313	376.426	1
"permutation (pref. index)"	0.770834	1.40577	1.68296	1.03906	8885.76	1.46867	8.17683	0
"permutation (vptree)"	0.626975	2.1277	10.6542	0.239064	263	9.10004	376.426	5
"vptree: triangle inequality"	0.656205	1.5259	1.29811	0.0367607	1251.67	58.7367	78.1277	3
"bbtree"	0.563339	2.63138	33.5967	0.0334731	1068.71	66.0958	92.6657	4
"permutation (incr. sorting)"	0.542302	2.91015	21.6376	1.68093	139	1.32917	712.23	1
"permutation (pref. index)"	0.700104	1.65438	2.84025	0.427034	4056.77	3.93141	19.8348	0
"permutation (vptree)"	0.546774	2.75193	21.9085	0.152494	139	14.3232	712.23	5
"vptree: triangle inequality"	0.546585	1.90996	2.59705	0.0175734	597.074	123.838	163.561	3
"bbtree"	0.525803	3.21024	68.917	0.0176893	549.479	124.106	180.146	4
"permutation (incr. sorting)"	0.464084	3.98363	42.1505	1.66623	77	1.32533	1285.71	1
"permutation (pref. index)"	0.608356	2.16307	9.96239	0.229152	2170.58	9.55319	45.4599	0
"permutation (vptree)"	0.473242	3.9968	51.5367	0.092876	77	23.7008	1285.71	5
"vptree: triangle inequality"	0.502205	2.2379	4.87616	0.0111863	359.642	193.467	271.95	3
"bbtree"	0.484147	4.13802	107.266	0.010053	288.399	216.874	343.18	4
"permutation (incr. sorting)"	0.389447	6.28069	83.3864	1.64042	46	1.3465	2152.17	1
"permutation (pref. index)"	0.541278	2.84151	21.016	0.100111	927.498	21.0944	102.772	0
"permutation (vptree)"	0.409121	5.64091	72.9602	0.0587715	46	34.2776	2152.17	5
"vptree: triangle inequality"	0.441601	2.91513	9.08421	0.00704803	207.309	304.773	471.158	3
"bbtree"	0.435159	5.71167	188.533	0.0062596	161.671	345.709	612.117	4
"permutation (incr. sorting)"	0.357556	7.60174	127.637	1.65434	35	1.34133	2828.57	1
"permutation (pref. index)"	0.50141	3.68726	40.9191	0.0558562	553.195	38.1942	171.147	0
"permutation (vptree)"	0.348278	8.22804	149.852	0.0494254	35	42.3326	2828.57	5
"vptree: triangle inequality"	0.344378	5.53539	39.5415	0.0039206	95.1591	545.957	1035.94	3
"bbtree"	0.42456	7.68284	373.55	0.0043164	99.4716	496.598	995.29	4
"permutation (incr. sorting)"	0.346159	8.42231	130.094	1.63939	35	1.35356	2828.57	1
"permutation (pref. index)"	0.453299	5.17502	80.3013	0.0233177	238.367	87.6023	388.737	0
"permutation (vptree)"	0.369433	7.53992	133.59	0.059283	35	36.4563	2828.57	5
"vptree: triangle inequality"	0.294319	10.641	165.36	0.0027774	58.2538	759.037	1697.31	3
"bbtree"	0.388535	10.4439	474.812	0.0035836	67.6349	595.734	1464.12	4
"permutation (incr. sorting)"	0.336954	8.42297	135.612	1.67122	35	1.32577	2828.57	1
"permutation (pref. index)"	0.436481	6.6714	153.519	0.0192007	211.289	111.616	392.64	0
"permutation (vptree)"	0.350668	7.76634	114.863	0.0526898	35	40.3141	2828.57	5
"vptree: triangle inequality"	0.286211	11.2209	149.439	0.0027792	58.4404	759.264	1692.96	3
