MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"bbtree"	0.955031	1.05827	0.173964	8.10161	7314.08	1.22171	1.25126	17
"permutation (incr. sorting)"	0.558679	1.97739	2.56809	0.601345	331	16.6869	27.1903	0
"permutation (pref. index)"	0.778438	1.34993	1.02627	6.3901	4597.01	1.57553	1.96359	0
"permutation (vptree)"	0.555632	2.04929	2.86911	0.583585	331	17.1742	27.1903	0
"vptree: triangle inequality"	0.978889	1.01791	0.0301636	5.35204	4750.45	1.87417	1.89419	26
"bbtree"	0.7075	1.70374	2.59839	4.06928	3565.83	2.43217	2.48205	17
"permutation (incr. sorting)"	0.468316	2.67991	5.21376	0.381082	173	26.3431	52.0231	0
"permutation (pref. index)"	0.513169	2.22244	3.53684	2.49248	1795.33	3.95025	4.91667	0
"permutation (vptree)"	0.467778	2.76745	5.74535	0.317487	173	31.6024	52.0231	0
"vptree: triangle inequality"	0.825161	1.18514	0.312413	2.60346	2302.13	3.85642	3.90801	15
"bbtree"	0.593233	2.65566	9.93023	2.10679	1853.63	4.7407	4.83457	17
"permutation (incr. sorting)"	0.385863	3.80178	9.72731	0.26954	94	37.1325	95.7447	0
"permutation (pref. index)"	0.396542	3.05915	5.82537	1.24558	900.83	7.68825	9.53953	0
"permutation (vptree)"	0.376677	3.94217	10.3354	0.187912	94	53.1797	95.7447	0
"vptree: triangle inequality"	0.610804	1.58498	1.23186	1.54601	1367.92	6.39644	6.50785	30
"bbtree"	0.494195	3.94577	21.0302	1.04306	920.009	9.62897	9.81423	17
"permutation (incr. sorting)"	0.323273	5.83944	20.8697	0.219184	55	45.503	163.636	0
"permutation (pref. index)"	0.281369	5.07058	13.7689	0.63004	450.354	15.3215	19.0115	0
"permutation (vptree)"	0.285369	6.68	23.029	0.116439	55	84.1988	163.636	0
"vptree: triangle inequality"	0.510651	1.95848	2.41167	1.14247	1006.39	8.76779	8.91954	15
"bbtree"	0.421463	5.45303	34.4837	0.53996	475.772	18.5352	18.8957	17
"permutation (incr. sorting)"	0.250343	10.4237	46.1206	0.190371	35	52.5324	257.143	0
"permutation (pref. index)"	0.187032	9.23641	29.9029	0.252074	183.925	37.2134	45.7731	0
"permutation (vptree)"	0.239669	10.8902	47.5601	0.0806303	35	122.107	257.143	0
"vptree: triangle inequality"	0.419496	2.50412	4.07878	0.737514	654.873	13.5697	13.7314	15
"bbtree"	0.355292	7.7139	56.3834	0.289762	252.43	34.5032	35.5435	17
"permutation (incr. sorting)"	0.193051	18.7491	99.0669	0.17744	25	56.2948	360	0
"permutation (pref. index)"	0.126936	17.1997	69.2139	0.125709	93.166	77.6789	93.5175	0
"permutation (vptree)"	0.188204	19.0701	91.7881	0.0607098	25	164.294	360	0
"vptree: triangle inequality"	0.33315	3.26061	6.48581	0.538928	478.73	18.4957	18.6686	26
"bbtree"	0.30046	11.4733	86.7627	0.159097	138.531	63.0473	64.9794	17
"permutation (incr. sorting)"	0.123803	49.4811	259.832	0.170982	20	58.6782	450	0
"permutation (pref. index)"	0.0841058	35.1345	150.293	0.0625158	48.532	157.088	181.901	0
"permutation (vptree)"	0.119777	52.9598	265.799	0.0473306	20	209.895	450	0
"vptree: triangle inequality"	0.279583	4.85257	14.0705	0.280432	245.455	35.4073	36.4694	22
"bbtree"	0.246754	17.7232	122.435	0.0993155	86.1413	100.711	104.434	17
"permutation (incr. sorting)"	0.086145	108.134	537.264	0.166711	18	60.0622	500	0
"permutation (pref. index)"	0.0548662	72.7482	345.848	0.0416599	33.437	231.865	261.359	0
"permutation (vptree)"	0.0897747	103.767	516.146	0.0398282	18	248.443	500	0
"vptree: triangle inequality"	0.227065	6.94396	23.1788	0.17566	154.783	56.7548	57.856	26
"bbtree"	0.196291	27.2986	162.445	0.0670347	57.8194	148.793	155.427	17
"permutation (incr. sorting)"	0.0530768	271.815	1160.97	0.160607	17	62.3714	529.412	0
"permutation (pref. index)"	0.0412514	124.97	685.188	0.0325509	26.7284	301.899	331.776	0
"permutation (vptree)"	0.0593156	242.348	1096.84	0.0376376	17	263.4	529.412	0
"vptree: triangle inequality"	0.142358	19.7404	74.426	0.0612542	53.9885	163.079	166.629	19
