MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"multiprobe lsh"	0.885	1.21023	7.212	0.18684	326.809	29.6995	302.929	1325
"permutation (incr. sorting)"	0.835	1.2411	0.635	3.32694	4966	1.66953	19.9356	6
"permutation (pref. index)"	0.904	1.11594	0.296	11.3491	69492.2	0.489537	1.42462	1
"permutation (vptree)"	0.843	1.21639	0.532	3.0805	4966	1.80342	19.9356	28
"vptree: triangle inequality"	0.968	1.0245	0.037	1.10763	16498.4	5.01121	6.00057	52
"multiprobe lsh"	0.659	3.89825	235.009	0.154348	184.105	36.3013	537.737	1339
"permutation (incr. sorting)"	0.658	1.79115	3.762	2.4707	2491	2.27084	39.7431	6
"permutation (pref. index)"	0.827	1.24757	0.736	9.52332	48902.2	0.589293	2.02445	1
"permutation (vptree)"	0.789	1.35742	1.654	1.64193	2491	3.41754	39.7431	38
"vptree: triangle inequality"	0.82	1.18495	0.329	0.570484	8502.59	9.82494	11.6435	43
"multiprobe lsh"	0.59	6.96932	408.667	0.188331	160.167	29.8062	618.105	1341
"permutation (incr. sorting)"	0.621	1.9973	5.795	1.86045	1253	3.02061	79.0104	6
"permutation (pref. index)"	0.762	1.40514	1.9	5.67241	32251.9	0.990868	3.06958	1
"permutation (vptree)"	0.667	1.82216	8.053	0.884314	1253	6.35469	79.0104	32
"vptree: triangle inequality"	0.699	1.37643	0.769	0.361406	5374.87	15.5308	18.419	49
"multiprobe lsh"	0.468	18.8222	720.503	0.152502	126.531	36.8723	782.417	1344
"permutation (incr. sorting)"	0.44	3.39636	16.855	1.56662	634	3.5951	156.151	6
"permutation (pref. index)"	0.725	1.49786	1.893	2.96924	15890.8	1.89705	6.23002	1
"permutation (vptree)"	0.446	3.67878	23.069	0.701782	634	8.02507	156.151	113
"vptree: triangle inequality"	0.635	1.55095	1.274	0.219464	3265.48	25.6244	30.3171	0
"multiprobe lsh"	0.364	57.651	1179.63	0.154076	90.673	36.8752	1091.84	1347
"permutation (incr. sorting)"	0.462	3.20032	17.566	1.97691	325	2.87824	304.615	6
"permutation (pref. index)"	0.601	2.06273	5.539	0.988604	5998.56	5.75342	16.504	1
"permutation (vptree)"	0.404	4.54597	33.287	0.352874	325	16.1156	304.615	61
"vptree: triangle inequality"	0.536	1.81603	1.566	0.136057	1992.76	41.7335	49.6797	21
"multiprobe lsh"	0.261	128.9	1389.36	0.162838	73.86	34.7629	1340.37	1348
"permutation (incr. sorting)"	0.299	9.07738	105.526	1.40889	170	4.02387	582.353	6
"permutation (pref. index)"	0.627	1.91229	4.279	1.39401	10092.1	4.06488	9.80968	1
"permutation (vptree)"	0.286	7.20493	61.739	0.251571	170	22.5156	582.353	304
"vptree: triangle inequality"	0.418	2.53556	3.785	0.072647	1047.91	77.7894	94.4741	0
"multiprobe lsh"	0.202	257.134	1771.59	0.218129	60.482	25.9948	1636.85	1350
"permutation (incr. sorting)"	0.259	13.1634	205.452	1.46327	93	3.87922	1064.52	6
"permutation (pref. index)"	0.506	2.79254	15.974	0.361851	2367.8	15.6725	41.811	1
"permutation (vptree)"	0.226	16.6543	194.508	0.136887	93	41.4181	1064.52	330
"vptree: triangle inequality"	0.308	4.15644	11.421	0.027129	370.175	207.806	267.441	0
"multiprobe lsh"	0.143	416.165	1824.87	0.199508	51.312	28.2902	1929.37	1351
"permutation (incr. sorting)"	0.187	21.4561	299.043	1.74442	54	3.23921	1833.33	6
"permutation (pref. index)"	0.391	5.16989	53.39	0.087346	626.721	64.5265	157.965	1
"permutation (vptree)"	0.185	22.8525	393.751	0.092677	54	60.8485	1833.33	76
"vptree: triangle inequality"	0.23	8.45209	66.048	0.011828	154.845	470.724	639.349	6
"multiprobe lsh"	0.093	631.665	1890.38	0.137859	49.024	41.1376	2019.42	1352
"permutation (incr. sorting)"	0.158	41.9762	748.036	1.84141	35	3.08372	2828.57	6
"permutation (pref. index)"	0.612	2.07119	8.247	0.483526	3470.62	11.7318	28.5251	1
"permutation (vptree)"	0.098	49.0353	591.107	0.074691	35	75.8052	2828.57	135
"vptree: triangle inequality"	0.176	34.2819	2425.3	0.00508	59.282	1088.81	1669.98	0
