MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"multiprobe lsh"	0.925	1.05984	0.091	2.09684	22604.5	1.63136	4.37966	1245
"permutation (incr. sorting)"	0.972	1.02001	0.029	16.8311	49516	0.203288	1.99935	6
"permutation (pref. index)"	1	1	0	21.1717	99016	0.161612	0.999838	4
"permutation (vptree)"	0.974	1.0186	0.027	30.6942	49516	0.111478	1.99935	28
"vptree: triangle inequality"	0.925	1.05795	0.086	3.19325	72828.3	1.07082	1.35936	29
"multiprobe lsh"	0.765	1.22346	0.346	1.07356	10931.7	3.19121	9.05619	1256
"permutation (incr. sorting)"	0.865	1.11428	0.177	9.54265	24766	0.359088	3.99742	6
"permutation (pref. index)"	0.896	1.13866	0.322	18.6607	85348.6	0.183641	1.15995	4
"permutation (vptree)"	0.863	1.11306	0.172	18.1673	24766	0.188626	3.99742	28
"vptree: triangle inequality"	0.837	1.13728	0.206	2.12354	48136.3	1.61245	2.05666	29
"multiprobe lsh"	0.747	1.25256	0.399	1.00334	10018.2	3.40591	9.88201	1260
"permutation (incr. sorting)"	0.728	1.26097	0.392	5.64452	12391	0.605546	7.98967	6
"permutation (pref. index)"	0.383	2.49099	2.902	4.39693	21563.8	0.777394	4.59102	4
"permutation (vptree)"	0.735	1.27131	0.431	10.2693	12391	0.33286	7.98967	28
"vptree: triangle inequality"	0.705	1.34679	0.637	1.37633	31963.8	2.48132	3.09725	29
"multiprobe lsh"	0.671	1.37818	0.624	0.731936	6861.47	4.68097	14.4284	1267
"permutation (incr. sorting)"	0.571	1.57188	0.949	3.82077	6203	0.896871	15.96	6
"permutation (pref. index)"	0.296	2.91882	3.546	2.00181	10083.1	1.71186	9.8184	4
"permutation (vptree)"	0.564	1.57406	0.969	5.8003	6203	0.590851	15.96	28
"vptree: triangle inequality"	0.54	1.66067	1.344	0.783419	18090.3	4.36994	5.47255	29
"multiprobe lsh"	0.575	1.58259	1.008	0.541479	4489.14	6.31465	22.0532	1274
"permutation (incr. sorting)"	0.424	2.0829	1.956	2.73689	3109	1.24989	31.843	6
"permutation (pref. index)"	0.161	5.47502	10.217	0.878643	4547.72	3.89242	21.7691	4
"permutation (vptree)"	0.435	2.10681	2.001	3.55675	3109	0.961841	31.843	28
"vptree: triangle inequality"	0.39	2.24576	2.287	0.386087	9189.02	8.85034	10.7737	29
"multiprobe lsh"	0.4	2.1413	2.058	0.371371	2382.7	9.31376	41.5494	1287
"permutation (incr. sorting)"	0.305	2.79059	3.535	2.20032	1562	1.5729	63.3803	6
"permutation (pref. index)"	0.081	11.4032	26.213	0.313516	1664.07	11.0293	59.4927	4
"permutation (vptree)"	0.329	2.7514	3.37	2.27523	1562	1.5211	63.3803	28
"vptree: triangle inequality"	0.261	3.17896	4.001	0.192839	4503.73	17.9147	21.9818	29
"multiprobe lsh"	0.334	2.70789	3.244	0.295828	1493.4	11.6448	66.2915	1296
"permutation (incr. sorting)"	0.232	4.1666	6.711	1.9452	789	1.77237	125.475	6
"permutation (pref. index)"	0.058	21.511	55.8	0.128194	673.743	26.839	146.94	4
"permutation (vptree)"	0.223	3.97513	6.184	1.64483	789	2.09576	125.475	28
"vptree: triangle inequality"	0.166	4.84345	7.562	0.101719	2282.5	33.7928	43.3736	29
"multiprobe lsh"	0.218	4.69437	8.456	0.204515	629.241	16.9352	157.332	1307
"permutation (incr. sorting)"	0.119	7.40424	14.184	1.64423	402	2.10874	246.269	6
"permutation (pref. index)"	0.024	47.3461	116.837	0.057301	318.761	60.3471	310.578	4
"permutation (vptree)"	0.146	7.09025	13.711	1.22213	402	2.83694	246.269	28
"vptree: triangle inequality"	0.075	10.9001	22.073	0.043442	917.921	79.4291	107.852	29
"multiprobe lsh"	0.067	18.2395	45.234	0.185295	168.057	18.6776	589.086	1324
"permutation (incr. sorting)"	0.092	11.7538	24.61	1.65076	209	2.09902	473.684	6
"permutation (pref. index)"	0.01	116.959	377.626	0.02266	127.633	151.761	775.661	4
"permutation (vptree)"	0.092	11.7027	25.437	0.992587	209	3.49056	473.684	28
"vptree: triangle inequality"	0.03	27.2823	77.598	0.01667	331.802	205.674	298.371	29
