MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem	MethodParams
"multiprobe lsh"	0.97906	1.01495	0.01	40.0818	363911	0.923905	2.74401	2434	"desiredRecall=0.95,H=2000003,T=10,L=50,tuneK=10"
"multiprobe lsh"	0.91256	1.07244	0.052	22.4774	202981	1.64771	4.91681	3142	"desiredRecall=0.85,H=2000003,T=10,L=50,tuneK=10"
"multiprobe lsh"	0.84548	1.14408	0.1104	14.9993	133731	2.4545	7.41495	2383	"desiredRecall=0.75,H=2000003,T=10,L=50,tuneK=10"
"multiprobe lsh"	0.7435	1.28712	0.2362	9.57758	83234.5	3.82345	11.8455	3212	"desiredRecall=0.65,H=2000003,T=10,L=50,tuneK=10"
"multiprobe lsh"	0.68452	1.39437	0.347	7.87387	68115.3	4.70093	14.6661	2297	"desiredRecall=0.55,H=2000003,T=10,L=50,tuneK=10"
"multiprobe lsh"	0.54102	1.76092	0.695	4.55121	37813.8	8.12103	26.3715	3319	"desiredRecall=0.45,H=2000003,T=10,L=50,tuneK=10"
"permutation (incr. sorting)"	0.7023	1.36381	0.3262	35.207	25007	1.05135	39.9488	268	"numPivot=32,dbScanFrac=0.025"
"permutation (incr. sorting)"	0.67086	1.42713	0.3884	33.4031	20844	1.10813	47.9275	243	"numPivot=32,dbScanFrac=0.0208333333333333"
"permutation (incr. sorting)"	0.63186	1.51643	0.4638	31.6107	16682	1.17093	59.8849	243	"numPivot=32,dbScanFrac=0.0166666666666667"
"permutation (incr. sorting)"	0.58016	1.65582	0.6042	29.7854	12519	1.24272	79.7987	243	"numPivot=32,dbScanFrac=0.0125"
"permutation (incr. sorting)"	0.50908	1.90647	0.8464	27.9508	8357	1.32428	119.541	243	"numPivot=32,dbScanFrac=0.00833333333333333"
"permutation (incr. sorting)"	0.3939	2.54694	1.4412	26.0473	4194	1.4211	238.197	243	"numPivot=32,dbScanFrac=0.00416666666666667"
"permutation (vptree)"	0.79732	1.21241	0.1858	81.6419	49982	0.454535	19.9872	324	"numPivot=32,dbScanFrac=0.05,alphaLeft=3,alphaRight=3"
"permutation (vptree)"	0.77046	1.25126	0.2218	72.7404	41657	0.510174	23.9816	243	"numPivot=32,dbScanFrac=0.0416666666666667,alphaLeft=3,alphaRight=3"
"permutation (vptree)"	0.73556	1.30609	0.2736	63.556	33332	0.584188	29.9712	243	"numPivot=32,dbScanFrac=0.0333333333333333,alphaLeft=3,alphaRight=3"
"permutation (vptree)"	0.6889	1.39073	0.3432	53.9402	25007	0.688791	39.9488	243	"numPivot=32,dbScanFrac=0.025,alphaLeft=3,alphaRight=3"
"permutation (vptree)"	0.61934	1.54557	0.4886	43.4694	16682	0.854835	59.8849	243	"numPivot=32,dbScanFrac=0.0166666666666667,alphaLeft=3,alphaRight=3"
"permutation (vptree)"	0.49982	1.92796	0.8564	31.431	8357	1.18218	119.541	243	"numPivot=32,dbScanFrac=0.00833333333333333,alphaLeft=3,alphaRight=3"
"list of clusters"	0.46074	2.03147	1.011	2.7428	41481	13.4848	24.0841	296	"bucketSize=250,maxLeavesToVisit=150"
