MethodName	Recall	PrecisionOfApprox	RelPosError	NumCloser	ClassAccuracy	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem	MethodParams	NumData
"projection (rand) incr. sorting"	0.111	0.115133	6.13999	313.265	0	19.679	100	5.55432	9990	990	"projType=rand,intermDim=0,projDim=4,knnAmp=10,useCosine=0"	999000
"projection (rand) incr. sorting"	0.203	0.209698	6.52023	151.045	0	19.8804	400	5.49805	2497.5	975	"projType=rand,intermDim=0,projDim=4,knnAmp=40,useCosine=0"	999000
"projection (rand) incr. sorting"	0.2345	0.248295	6.06758	118.665	0	20.0046	600	5.46394	1665	975	"projType=rand,intermDim=0,projDim=4,knnAmp=60,useCosine=0"	999000
"projection (rand) incr. sorting"	0.291	0.31269	5.34402	87.935	0	20.2803	1000	5.38965	999	975	"projType=rand,intermDim=0,projDim=4,knnAmp=100,useCosine=0"	999000
"projection (rand) incr. sorting"	0.497	0.522017	3.29266	23.18	0	22.2867	4000	4.90433	249.75	975	"projType=rand,intermDim=0,projDim=4,knnAmp=400,useCosine=0"	999000
"projection (rand) incr. sorting"	0.5575	0.587071	2.77109	14.58	0	23.6624	6000	4.61922	166.5	975	"projType=rand,intermDim=0,projDim=4,knnAmp=600,useCosine=0"	999000
"projection (rand) incr. sorting"	0.6335	0.671275	2.13069	9.48	0	26.247	10000	4.16439	99.9	975	"projType=rand,intermDim=0,projDim=4,knnAmp=1000,useCosine=0"	999000
"projection (rand) incr. sorting"	0.8365	0.861701	1.35953	0.68	0	45.7605	40000	2.38867	24.975	975	"projType=rand,intermDim=0,projDim=4,knnAmp=4000,useCosine=0"	999000
"projection (rand) incr. sorting"	0.29	0.314604	6.30481	24.28	0	20.3395	100	5.37396	9990	1036	"projType=rand,intermDim=0,projDim=16,knnAmp=10,useCosine=0"	999000
"projection (rand) incr. sorting"	0.486	0.533517	3.07663	9.875	0	20.5278	400	5.32467	2497.5	975	"projType=rand,intermDim=0,projDim=16,knnAmp=40,useCosine=0"	999000
"projection (rand) incr. sorting"	0.55	0.600168	2.51814	5.765	0	20.6598	600	5.29065	1665	975	"projType=rand,intermDim=0,projDim=16,knnAmp=60,useCosine=0"	999000
"projection (rand) incr. sorting"	0.621	0.676615	2.03994	3.83	0	20.8967	1000	5.23065	999	975	"projType=rand,intermDim=0,projDim=16,knnAmp=100,useCosine=0"	999000
"projection (rand) incr. sorting"	0.8125	0.847368	1.35634	1.125	0	22.8507	4000	4.78335	249.75	975	"projType=rand,intermDim=0,projDim=16,knnAmp=400,useCosine=0"	999000
"projection (rand) incr. sorting"	0.852	0.885024	1.2487	1.03	0	24.1819	6000	4.52003	166.5	975	"projType=rand,intermDim=0,projDim=16,knnAmp=600,useCosine=0"	999000
"projection (rand) incr. sorting"	0.8875	0.914538	1.17743	0.82	0	26.6673	10000	4.09878	99.9	975	"projType=rand,intermDim=0,projDim=16,knnAmp=1000,useCosine=0"	999000
