MethodName	Recall	PrecisionOfApprox	RelPosError	NumCloser	ClassAccuracy	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem	MethodParams	NumData
"permutation (inverted index over neighboring pivots)"	0.8377	0.876726	1.16517	0.165	0	72.0842	3684	210.644	271.572	675	"numPivot=500,numPivotIndex=25,numPivotSearch=9,indexThreadQty=4,useSort=1,dbScanFrac=0.0002"	999800
"permutation (inverted index over neighboring pivots)"	0.9197	0.940334	1.07307	0.075	0	122.677	6868.71	123.859	145.739	617	"numPivot=500,numPivotIndex=25,numPivotSearch=9,indexThreadQty=4,useSort=1,dbScanFrac=0.0004"	999800
"permutation (inverted index over neighboring pivots)"	0.9499	0.964405	1.04176	0.031	0	172.364	10017.7	88.2266	100.024	617	"numPivot=500,numPivotIndex=25,numPivotSearch=9,indexThreadQty=4,useSort=1,dbScanFrac=0.0006"	999800
"permutation (inverted index over neighboring pivots)"	0.9678	0.976123	1.02759	0.023	0	221.351	13113.9	68.7903	76.4838	617	"numPivot=500,numPivotIndex=25,numPivotSearch=9,indexThreadQty=4,useSort=1,dbScanFrac=0.0008"	999800
"permutation (inverted index over neighboring pivots)"	0.9773	0.982516	1.02005	0.019	0	269.162	16142.4	56.5975	62.1776	617	"numPivot=500,numPivotIndex=25,numPivotSearch=9,indexThreadQty=4,useSort=1,dbScanFrac=0.001"	999800
"permutation (inverted index over neighboring pivots)"	0.9973	0.998183	1.00201	0.001	0	658.76	40863.6	23.1007	24.514	617	"numPivot=500,numPivotIndex=25,numPivotSearch=9,indexThreadQty=4,useSort=1,dbScanFrac=0.003"	999800
"projection (perm) incr. sorting"	0.8503	0.888903	1.14502	0.127	0	108.066	3127	140.594	319.731	1106	"projType=perm,intermDim=0,projDim=128,dbScanFrac=0.003,useCosine=0"	999800
"projection (perm) incr. sorting"	0.9021	0.927422	1.08998	0.09	0	139.733	5127	108.725	195.007	617	"projType=perm,intermDim=0,projDim=128,dbScanFrac=0.005,useCosine=0"	999800
"projection (perm) incr. sorting"	0.9295	0.94831	1.06238	0.061	0	171.445	7126	88.6082	140.303	617	"projType=perm,intermDim=0,projDim=128,dbScanFrac=0.007,useCosine=0"	999800
"projection (perm) incr. sorting"	0.9513	0.96574	1.04039	0.043	0	219.209	10126	69.3044	98.7359	617	"projType=perm,intermDim=0,projDim=128,dbScanFrac=0.01,useCosine=0"	999800
