MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"bbtree"	0.70789	1.75145	10.6681	1.77014	33452.2	10.7873	14.9162	37
"permutation (incr. sorting)"	0.80084	1.32048	1.18766	15.4242	14986	1.23854	33.2977	6
"permutation (pref. index)"	0.739144	1.54029	2.96816	15.8283	76675.8	1.19449	6.43243	0
"vptree: triangle inequality"	0.731772	1.3208	0.600364	1.32907	22902.7	14.3013	21.6885	35
"bbtree"	0.64048	2.28809	46.5529	0.873517	16641.5	21.8265	29.9848	36
"permutation (incr. sorting)"	0.79207	1.36612	1.55893	14.6775	13322	1.29886	37.4568	6
"permutation (pref. index)"	0.687904	1.73868	5.17761	8.60319	42024.2	2.16821	11.621	0
"vptree: triangle inequality"	0.597822	1.65222	1.48743	0.387306	6293.4	48.8514	78.5958	36
"bbtree"	0.572709	3.06696	81.7471	0.43709	8321.68	43.5744	59.9625	36
"permutation (incr. sorting)"	0.76803	1.44748	2.17141	13.7885	11659	1.38003	42.7996	6
"permutation (pref. index)"	0.634946	2.04137	7.22272	4.6303	22405.7	4.11951	22.1876	0
"vptree: triangle inequality"	0.478111	2.24591	3.50535	0.173663	2736.95	109.67	182.651	36
"bbtree"	0.504805	4.42091	165.497	0.222627	4188.41	85.6852	119.15	37
"permutation (incr. sorting)"	0.759227	1.47629	2.62973	13.7502	9996	1.39019	49.92	6
"permutation (pref. index)"	0.571555	2.61072	15.0531	2.28805	11269.3	8.00939	42.5946	0
"vptree: triangle inequality"	0.403812	3.08482	8.9217	0.0943603	1413.02	198.278	346.368	35
"bbtree"	0.457391	6.46814	304.109	0.115759	2108.3	165.319	236.728	36
"permutation (incr. sorting)"	0.702006	1.67239	5.70005	12.7445	8332	1.50706	59.8896	6
"permutation (pref. index)"	0.495794	3.63325	37.2377	1.07882	5451.88	16.7192	86.2432	0
"vptree: triangle inequality"	0.347159	4.854	23.011	0.0496595	705.833	382.641	702.374	35
"bbtree"	0.410725	9.51954	490.399	0.0617325	1065.75	310.372	468.236	36
"permutation (incr. sorting)"	0.70458	1.66966	3.82535	12.1036	6669	1.58668	74.8238	6
"permutation (pref. index)"	0.466376	4.76992	63.3398	0.594916	2932.94	31.3634	165.214	0
"vptree: triangle inequality"	0.293095	7.9388	62.3685	0.0284942	378.333	658.561	1287.46	36
"bbtree"	0.373038	15.7676	915.927	0.033527	546.763	569.758	912.661	37
"permutation (incr. sorting)"	0.675485	1.81387	6.35198	11.3747	5006	1.69014	99.6804	6
"permutation (pref. index)"	0.419747	6.55534	115.328	0.348214	1767.22	54.9617	279.859	0
"vptree: triangle inequality"	0.271769	11.6644	132.249	0.0175888	219.075	1079.83	2270.67	35
"bbtree"	0.356252	22.5056	1568.52	0.0186402	291.372	1024.11	1712.59	36
"permutation (incr. sorting)"	0.636786	2.06042	6.12237	10.811	3342	1.78009	149.312	6
"permutation (pref. index)"	0.399818	9.25403	217.657	0.199158	1035.09	94.9461	468.736	0
"vptree: triangle inequality"	0.243513	30.113	522.578	0.00746213	80.6282	2517.81	6147.41	36
"bbtree"	0.32984	37.6372	2384.81	0.0112378	165.443	1695.2	3016.18	37
"permutation (incr. sorting)"	0.595604	2.4601	16.48	9.88125	1679	1.9468	297.201	6
"permutation (pref. index)"	0.36968	12.6403	360.52	0.118502	599.801	146.909	728.442	0
"vptree: triangle inequality"	0.205886	87.7128	1783.1	0.00452	44.7236	4147.26	11142.2	35
