MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"bbtree"	1	1	0	11.5152	9932.9	0.891738	0.906038	17
"permutation (incr. sorting)"	0.622454	1.66505	1.52743	1.07207	646	9.57181	13.9319	0
"permutation (pref. index)"	0.999951	1.00003	4.2371e-06	12.1655	9016	1.18662	1.40244	0
"vptree: triangle inequality"	0.96887	1.04441	0.123433	5.71951	5048.09	1.79527	1.78349	15
"bbtree"	1	1	0	11.5455	9961.72	0.888466	0.903431	17
"permutation (incr. sorting)"	0.570214	1.82552	1.92223	0.964261	575	10.6255	15.6522	0
"permutation (pref. index)"	0.678305	1.56346	1.64995	4.78268	3575.94	2.14211	2.51513	0
"vptree: triangle inequality"	0.778479	1.34466	1.42164	2.70288	2392.6	3.79097	3.75963	15
"bbtree"	0.887414	1.20124	1.00625	7.84018	6864.99	1.32849	1.34373	17
"permutation (incr. sorting)"	0.565151	1.83628	1.83469	0.859846	505	11.9215	17.8218	0
"permutation (pref. index)"	0.559353	1.9783	2.76307	3.06235	2282.52	3.25906	3.84787	0
"vptree: triangle inequality"	0.581254	2.0628	6.00268	1.83568	1621.62	5.563	5.52814	15
"bbtree"	0.635402	2.75795	11.366	3.94627	3435.31	2.61929	2.64471	17
"permutation (incr. sorting)"	0.524228	2.04665	2.61825	0.755408	436	13.5611	20.6422	0
"permutation (pref. index)"	0.418271	2.82688	5.23784	1.54835	1167.27	6.21586	7.2383	0
"vptree: triangle inequality"	0.52824	2.47639	10.289	1.44492	1278.62	7.06154	7.00885	26
"bbtree"	0.45099	6.42223	54.9413	1.95498	1701.65	5.25487	5.3023	17
"permutation (incr. sorting)"	0.500176	2.07707	2.45075	0.664018	366	15.4351	24.5902	0
"permutation (pref. index)"	0.287324	4.71828	12.0785	0.958269	728.605	10.6415	12.2975	0
"vptree: triangle inequality"	0.389959	3.97405	26.7385	0.99584	879.65	10.1641	10.1064	15
"bbtree"	0.354609	10.3447	146.527	0.999512	867.55	10.2484	10.3519	17
"permutation (incr. sorting)"	0.455915	2.53795	4.14087	0.562216	295	18.2415	30.5085	0
"permutation (pref. index)"	0.205774	6.99536	20.0648	0.455645	343.235	20.1447	23.4403	0
"vptree: triangle inequality"	0.337076	5.09483	43.0756	0.703338	620.941	14.4071	14.3205	15
"bbtree"	0.315718	14.6915	225.841	0.514611	445.712	20.0092	20.2634	17
"permutation (incr. sorting)"	0.429567	2.64797	4.32625	0.460987	225	22.2759	40	0
"permutation (pref. index)"	0.148668	10.8276	34.1446	0.240973	182.984	39.7298	45.9868	0
"vptree: triangle inequality"	0.267331	8.70846	94.1108	0.434493	382.512	23.5197	23.4514	15
"bbtree"	0.244128	22.341	338.839	0.27553	236.982	37.1075	37.9109	17
"permutation (incr. sorting)"	0.355251	3.58119	7.49527	0.36322	156	28.2377	57.6923	0
"permutation (pref. index)"	0.117093	16.5427	67.0374	0.155806	121.42	61.06	69.5507	0
"vptree: triangle inequality"	0.215786	12.7195	127.981	0.252863	222.674	40.1302	40.0482	15
"bbtree"	0.205801	31.5012	424.739	0.159947	136.805	63.9995	65.7688	17
"permutation (incr. sorting)"	0.278784	5.73362	15.7726	0.261383	86	39.2516	104.651	0
"permutation (pref. index)"	0.0931021	26.1004	124.285	0.122462	95.3177	87.8822	99.2345	0
"vptree: triangle inequality"	0.160882	28.6199	210.003	0.104054	91.338	97.9224	98.2359	15
