MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"bbtree"	0.847822	1.27237	1.98892	13.9982	34767.4	3.92818	14.3547	119
"permutation (incr. sorting)"	0.728738	1.47052	1.70203	25.0057	24966	2.21359	19.9872	6
"permutation (pref. index)"	0.675231	1.76684	3.98234	26.6838	62555.8	1.93944	7.49838	0
"vptree: triangle inequality"	0.859468	1.15622	0.373292	13.6965	100556	4.01536	4.96056	107
"bbtree"	0.832396	1.32458	3.05244	7.25428	18175.4	8.0922	27.4545	120
"permutation (incr. sorting)"	0.730052	1.48719	1.87059	23.2014	22193	2.53971	22.4846	6
"permutation (pref. index)"	0.63907	1.98227	6.1907	12.0834	28802.3	4.58963	16.2085	0
"vptree: triangle inequality"	0.589586	1.73642	2.16967	4.3899	31745	13.3675	15.7002	106
"bbtree"	0.796614	1.41336	2.57799	3.52218	9416.75	16.7151	52.9933	120
"permutation (incr. sorting)"	0.697886	1.58342	2.26796	21.29	19421	2.77081	25.6938	6
"permutation (pref. index)"	0.564514	2.53047	14.328	7.992	19388.6	7.36923	25.7452	0
"vptree: triangle inequality"	0.490794	2.23641	4.16134	2.06945	14612.4	28.4271	34.1324	106
"bbtree"	0.761084	1.54213	5.69675	1.70176	4783.74	34.5128	104.284	119
"permutation (incr. sorting)"	0.695214	1.63175	3.07636	19.6431	16649	3.00509	29.9718	6
"permutation (pref. index)"	0.479354	3.51374	22.3347	5.04808	12135.4	11.6874	40.9182	0
"vptree: triangle inequality"	0.408864	2.99405	8.01813	0.814345	5522.52	71.9901	90.1666	107
"bbtree"	0.68207	1.82979	12.5536	0.795734	2402.05	73.4328	207.577	119
"permutation (incr. sorting)"	0.679234	1.65423	2.06723	18.1539	13877	3.24553	35.9588	6
"permutation (pref. index)"	0.418248	4.89218	45.7874	2.70504	6480.91	21.4936	76.1563	0
"vptree: triangle inequality"	0.333963	4.08397	13.1745	0.420166	2761.15	138.678	179.447	107
"bbtree"	0.64494	2.03639	10.3273	0.369528	1193.86	158.897	417.902	119
"permutation (incr. sorting)"	0.656553	1.78794	4.76612	16.636	11104	3.53242	44.9388	6
"permutation (pref. index)"	0.358198	7.26381	87.244	1.48479	3616.64	38.8842	135.203	0
"vptree: triangle inequality"	0.315335	4.91757	22.2814	0.269747	1721.92	216.749	288.423	107
"bbtree"	0.594223	2.40833	24.8128	0.177443	601.176	330.718	829.828	119
"permutation (incr. sorting)"	0.627066	1.938	4.83364	14.794	8332	3.97763	59.8896	6
"permutation (pref. index)"	0.335144	9.48903	137.963	0.700659	1676.42	78.8295	271.039	0
"vptree: triangle inequality"	0.263329	7.6648	44.4455	0.117649	717.395	495.066	690.698	107
"bbtree"	0.564303	2.72584	29.8868	0.0922965	312.828	633.005	1594.79	120
"permutation (incr. sorting)"	0.57899	2.31327	8.81318	12.4728	5560	4.7069	89.7482	6
"permutation (pref. index)"	0.304032	13.6999	228.237	0.412273	1010.31	129.388	437.435	0
"vptree: triangle inequality"	0.204196	20.2214	198.552	0.0375263	208.528	1552.8	2387.08	106
"bbtree"	0.508007	3.49109	48.8925	0.053474	172.424	1022.32	2893.08	119
"permutation (incr. sorting)"	0.515861	2.94402	16.9112	10.8791	2788	5.00907	178.981	6
"permutation (pref. index)"	0.289037	19.1936	418.634	0.318737	813.731	161.098	573.547	0
"vptree: triangle inequality"	0.181657	67.1331	987.831	0.0119693	58.72	4512.55	8442.42	107
