MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"bbtree"	1	1	0	17.936	9947.1	0.411097	0.905323	17
"permutation (incr. sorting)"	0.830661	1.21374	0.463714	0.867721	646	8.48313	13.9319	0
"permutation (pref. index)"	0.999983	1.00001	2.23991e-06	9.65137	9016	0.984215	1.2659	0
"vptree: triangle inequality"	0.984176	1.01182	0.0176244	2.96102	3794.83	2.4891	2.37324	15
"bbtree"	1	1	0	18.3113	9961.18	0.401612	0.903532	17
"permutation (incr. sorting)"	0.791312	1.28208	0.621935	0.777632	575	9.42977	15.6522	0
"permutation (pref. index)"	0.751588	1.38553	0.96548	3.70359	3524.85	1.97377	2.54804	0
"vptree: triangle inequality"	0.906732	1.08288	0.136549	1.89665	2453.25	3.86056	3.66322	15
"bbtree"	0.995828	1.00304	0.00404911	14.5702	8205.77	0.503603	1.09817	17
"permutation (incr. sorting)"	0.772119	1.31573	0.706693	0.701957	505	10.4333	17.8218	0
"permutation (pref. index)"	0.636492	1.67324	1.73418	2.10728	2074.89	3.4233	4.26656	0
"vptree: triangle inequality"	0.773088	1.25269	0.464995	0.986911	1278.43	7.26144	6.89742	15
"bbtree"	0.922289	1.08992	0.197695	6.83337	4049.8	1.07065	2.21929	17
"permutation (incr. sorting)"	0.756525	1.35238	0.792448	0.625949	436	11.674	20.6422	0
"permutation (pref. index)"	0.515883	2.15172	3.38083	1.07588	1060.05	6.49918	8.12124	0
"vptree: triangle inequality"	0.701996	1.41383	0.905502	0.780811	1012.08	9.30525	8.84207	15
"bbtree"	0.776478	1.49311	2.26518	3.17393	1997.36	2.32302	4.48892	17
"permutation (incr. sorting)"	0.732008	1.4193	1.01856	0.553373	366	13.3176	24.5902	0
"permutation (pref. index)"	0.400099	3.19665	6.94074	0.636474	626.066	11.512	14.2771	0
"vptree: triangle inequality"	0.629124	1.54664	1.16256	0.622946	802.294	11.7986	11.2009	15
"bbtree"	0.67734	2.58066	48.5798	1.45137	999.814	5.0366	9.06666	17
"permutation (incr. sorting)"	0.700138	1.50218	1.27931	0.474851	295	15.3975	30.5085	0
"permutation (pref. index)"	0.320137	4.41156	12.9543	0.391005	385.819	18.1335	22.6475	0
"vptree: triangle inequality"	0.511646	2.02153	2.56727	0.408779	532.862	17.7197	16.7646	15
"bbtree"	0.609654	3.24757	68.8487	0.704071	512.77	10.3849	17.6196	17
"permutation (incr. sorting)"	0.668706	1.62588	1.75356	0.392218	225	18.6271	40	0
"permutation (pref. index)"	0.246437	6.93545	25.0432	0.196143	197.856	35.9768	43.9736	0
"vptree: triangle inequality"	0.450175	2.51788	4.59993	0.252617	328.107	28.3274	26.884	15
"bbtree"	0.550587	4.31731	94.1998	0.361491	260.626	20.3983	34.5064	17
"permutation (incr. sorting)"	0.617377	1.85301	2.66156	0.316005	156	23.2974	57.6923	0
"permutation (pref. index)"	0.179022	11.7425	51.4671	0.0958183	97.6687	71.1243	85.739	0
"vptree: triangle inequality"	0.377819	4.07807	18.6081	0.143836	185.881	50.681	48.0434	15
"bbtree"	0.52102	5.15407	119.056	0.196065	144.189	37.1059	62.4257	17
"permutation (incr. sorting)"	0.514487	2.61942	6.16387	0.24507	86	29.845	104.651	0
"permutation (pref. index)"	0.170943	15.5299	112.333	0.0887788	93.755	83.5798	97.5998	0
"vptree: triangle inequality"	0.298425	7.16189	44.6983	0.079438	102.963	91.3867	87.1199	15
