MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"multiprobe lsh"	0.901315	1.53099	112.274	0.270495	978.293	20.9159	111.511	493
"permutation (incr. sorting)"	0.940553	1.05615	0.0865199	2.75321	2249	2.09606	49.6585	2
"permutation (pref. index)"	0.836198	1.19338	0.405173	2.92069	17122.9	1.93511	6.33428	0
"vptree: triangle inequality"	0.982906	1.01219	0.0168252	0.161766	2301.6	35.5593	48.3683	23
"multiprobe lsh"	0.786569	2.69822	227.574	0.180376	301.972	32.9543	367.107	498
"permutation (incr. sorting)"	0.909715	1.08681	0.138094	2.62695	2001	2.20214	55.8131	2
"permutation (pref. index)"	0.749044	1.33564	0.714034	1.11632	6823.98	5.21771	16.4169	0
"vptree: triangle inequality"	0.89557	1.08912	0.137296	0.0578434	791.494	99.918	141.134	22
"multiprobe lsh"	0.745899	3.47784	317.678	0.213362	211.742	27.1922	520.845	499
"permutation (incr. sorting)"	0.909657	1.09455	0.179725	2.57376	1753	2.25375	63.7091	2
"permutation (pref. index)"	0.681925	1.49551	1.35288	0.737734	4560.1	7.50109	23.3831	0
"vptree: triangle inequality"	0.774481	1.2352	0.399335	0.031737	415.721	181.384	268.093	22
"multiprobe lsh"	0.65174	6.02127	471.703	0.170791	134.165	34.2563	824.7	500
"permutation (incr. sorting)"	0.905494	1.10215	0.203999	2.45748	1505	2.36528	74.2073	2
"permutation (pref. index)"	0.638363	1.63144	1.7212	0.323107	2114.78	15.477	46.1658	0
"vptree: triangle inequality"	0.620083	1.53954	1.06741	0.0158525	193.619	361.958	574.985	22
"multiprobe lsh"	0.520114	15.8422	760.452	0.170737	87.4644	34.9643	1274.88	502
"permutation (incr. sorting)"	0.894675	1.10105	0.170645	2.43453	1256	2.37552	88.9188	2
"permutation (pref. index)"	0.581592	1.85601	2.61861	0.308954	2038.16	18.4322	50.5926	0
"vptree: triangle inequality"	0.458771	2.29825	3.45102	0.0081559	92.0792	696.317	1210.58	22
"multiprobe lsh"	0.402517	40.6725	1045.01	0.235578	69.0644	27.0509	1614.86	503
"permutation (incr. sorting)"	0.851067	1.17578	0.412716	2.2823	1008	2.52614	110.796	2
"permutation (pref. index)"	0.544917	2.02216	3.12586	0.184687	1271.74	31.4011	86.2229	0
"vptree: triangle inequality"	0.364922	3.5625	49.4382	0.0054116	56.9866	1042.75	1959.91	22
"multiprobe lsh"	0.276846	120.466	1342.58	0.120983	59.3239	48.3908	1861.4	503
"permutation (incr. sorting)"	0.799877	1.25935	0.590608	2.17691	760	2.65305	146.95	2
"permutation (pref. index)"	0.493167	2.41145	6.22584	0.115984	830.064	45.4034	120.131	0
"vptree: triangle inequality"	0.297936	5.68209	129.264	0.0039342	38.5657	1425.36	2893.35	22
"multiprobe lsh"	0.170402	290.169	1571.25	0.152313	57.2019	38.7731	1945.18	504
"permutation (incr. sorting)"	0.77632	1.2977	0.744602	2.08873	512	2.77286	218.129	2
"permutation (pref. index)"	0.482148	2.55706	7.12539	0.105987	818.683	50.2383	125.86	0
"vptree: triangle inequality"	0.28288	5.69154	79.8562	0.0039256	38.5055	1424.67	2898.38	22
"multiprobe lsh"	0.054853	743.171	1880.33	0.114649	55.3942	51.3871	2009.19	504
"permutation (incr. sorting)"	0.618352	1.70211	2.11468	1.97874	264	2.92888	423.038	2
"permutation (pref. index)"	0.450323	2.87993	9.60824	0.120138	922.575	48.1229	117.081	0
"vptree: triangle inequality"	0.282488	6.03361	66.3781	0.0039274	38.5319	1427.34	2897.44	22
