MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"multiprobe lsh"	0.903208	1.11647	0.292662	0.659174	1766.73	78.9668	278.144	1077
"permutation (incr. sorting)"	0.673509	1.76375	3.56294	14.5123	9996	3.68368	49.92	499
"permutation (pref. index)"	0.701466	1.56288	2.00096	12.4526	124509	4.42841	4.13758	692
"vptree: triangle inequality"	0.955631	1.03528	0.0544904	11.5492	99021	4.63557	5.03598	738
"multiprobe lsh"	0.694633	2.10164	38.1655	0.343728	506.169	156.083	981.039	1099
"permutation (incr. sorting)"	0.663717	1.81243	3.76356	13.9637	8887	3.8114	56.1494	499
"permutation (pref. index)"	0.6695	1.64803	2.0931	8.23713	82838.3	6.58281	6.09001	692
"vptree: triangle inequality"	0.823623	1.16892	0.291634	4.6267	38830	11.583	12.8522	717
"multiprobe lsh"	0.607419	3.28128	100.232	0.319402	409.979	168.078	1213.66	1087
"permutation (incr. sorting)"	0.655748	1.84539	4.56436	13.4685	7778	3.97551	64.1553	499
"permutation (pref. index)"	0.600354	1.92383	4.34585	4.81674	48519.5	12.1904	11.226	692
"vptree: triangle inequality"	0.689567	1.37	0.661131	2.75438	22765.4	19.4872	21.904	698
"multiprobe lsh"	0.478952	9.94655	402.587	0.301782	325.363	176.665	1527.52	1082
"permutation (incr. sorting)"	0.640458	1.93139	4.67898	12.9216	6669	4.16285	74.8238	499
"permutation (pref. index)"	0.556339	2.25296	7.27113	2.09384	21272.1	23.4888	21.6748	692
"vptree: triangle inequality"	0.551665	1.69835	1.31816	1.45011	11800.9	36.7722	42.2673	731
"multiprobe lsh"	0.347757	42.814	951.317	0.289347	278.166	184.89	1789.41	1081
"permutation (incr. sorting)"	0.614945	2.02713	6.42153	11.9912	5560	4.49458	89.7482	499
"permutation (pref. index)"	0.458665	3.11668	21.7392	0.776522	7723.67	55.6666	51.8977	692
"vptree: triangle inequality"	0.412262	2.32965	2.73294	0.7273	5765.22	73.4094	86.5506	728
"multiprobe lsh"	0.266169	118.677	1365.66	0.317763	257.321	166.646	1932.55	1096
"permutation (incr. sorting)"	0.570622	2.36283	7.88135	11.1112	4451	4.78686	112.11	499
"permutation (pref. index)"	0.545606	2.16419	9.31475	1.336	13620.7	31.7197	29.0731	692
"vptree: triangle inequality"	0.318314	3.38005	5.75895	0.302683	2304.07	176.428	216.724	713
"multiprobe lsh"	0.205955	227.845	1587.15	0.294907	249.094	182.931	2000.61	1067
"permutation (incr. sorting)"	0.506648	2.94415	13.7824	11.1974	3342	4.76375	149.312	499
"permutation (pref. index)"	0.412379	3.92831	34.7117	0.583302	5915.14	79.0808	72.8926	692
"vptree: triangle inequality"	0.234699	7.16246	28.005	0.0723531	497.794	736.751	1001.83	698
"multiprobe lsh"	0.136853	426.874	1824.78	0.30626	247.125	178.745	2018.79	1100
"permutation (incr. sorting)"	0.496165	2.99351	14.5578	9.70713	2233	5.47101	223.466	499
"permutation (pref. index)"	0.444092	3.42361	17.625	1.16522	11916.6	42.1296	38.3268	692
"vptree: triangle inequality"	0.14354	68.1217	2630.69	0.00914337	53.0426	5750.46	9396.91	708
"multiprobe lsh"	0.0985564	592.414	1904.58	0.520965	245.843	105.336	2029.94	1125
"permutation (incr. sorting)"	0.367733	6.04164	55.5046	10.2401	1124	5.14919	443.95	499
"permutation (pref. index)"	0.518339	2.53143	15.0317	1.18702	12160.4	33.519	30.5306	692
"vptree: triangle inequality"	0.135748	86.7043	7668.13	0.0083476	49.0176	6276.52	10174.1	703
