MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"multiprobe lsh"	0.870973	1.57164	88.1444	0.651575	378.104	5.5471	23.6701	483
"permutation (incr. sorting)"	0.980705	1.01633	0.0260186	0.534856	646	6.67712	13.9319	0
"permutation (pref. index)"	1	1	0	4.95298	9016	0.720862	0.998225	0
"vptree: triangle inequality"	0.983374	1.01301	0.020106	0.275592	709.654	12.9414	12.6886	16
"multiprobe lsh"	0.756751	3.21835	277.426	0.444684	82.0195	7.95445	108.143	505
"permutation (incr. sorting)"	0.979386	1.01806	0.0302881	0.490596	575	7.30449	15.6522	0
"permutation (pref. index)"	1	1	0	5.05231	9016	0.709912	0.998225	0
"vptree: triangle inequality"	0.922697	1.06752	0.109687	0.137657	354.017	25.9546	25.4046	13
"multiprobe lsh"	0.72518	3.95519	326.335	0.465968	48.5486	7.50405	179.232	483
"permutation (incr. sorting)"	0.961008	1.03447	0.0580953	0.454437	505	7.88192	17.8218	0
"permutation (pref. index)"	0.944896	1.05985	0.124503	3.58296	6443.93	1.03117	1.43705	0
"vptree: triangle inequality"	0.791415	1.22903	0.412488	0.0735767	188.456	48.4634	47.6928	16
"multiprobe lsh"	0.62628	7.55762	506.752	0.471286	16.3692	7.66078	532.86	482
"permutation (incr. sorting)"	0.956051	1.04117	0.0734951	0.412314	436	8.6963	20.6422	0
"permutation (pref. index)"	0.859688	1.17072	0.368138	1.75768	3160.91	2.0497	2.86048	0
"vptree: triangle inequality"	0.698196	1.43213	0.900004	0.0451912	114.732	78.8708	78.421	17
"multiprobe lsh"	0.494195	18.9827	740.981	0.421858	7.1778	8.32234	1246	734
"permutation (incr. sorting)"	0.952299	1.04262	0.0714076	0.371777	366	9.64334	24.5902	0
"permutation (pref. index)"	0.744696	1.36979	0.830896	0.744614	1353.95	4.80023	6.6329	0
"vptree: triangle inequality"	0.582435	1.81477	2.19494	0.0316664	80.2051	112.134	111.939	17
"multiprobe lsh"	0.42898	36.2397	938.469	0.49039	5.68154	7.06834	1581.5	508
"permutation (incr. sorting)"	0.922024	1.06988	0.111008	0.323918	295	11.064	30.5085	0
"permutation (pref. index)"	0.656069	1.57963	1.42495	0.244157	457.563	13.9019	18.6694	0
"vptree: triangle inequality"	0.480145	2.53915	5.46753	0.0209765	53.0042	169.35	169.543	12
"multiprobe lsh"	0.331814	96.4386	1278.31	0.409812	5.10497	8.25043	1763.29	504
"permutation (incr. sorting)"	0.910311	1.08984	0.169977	0.281829	225	12.711	40	0
"permutation (pref. index)"	0.580272	1.85824	2.36816	0.144442	271.953	22.9564	30.4944	0
"vptree: triangle inequality"	0.405282	3.51052	12.9629	0.0167372	42.396	212.004	212.256	17
"multiprobe lsh"	0.214171	213.967	1459.76	0.616822	4.83397	5.67104	1862.13	484
"permutation (incr. sorting)"	0.869929	1.14594	0.299749	0.242614	156	14.7517	57.6923	0
"permutation (pref. index)"	0.517406	2.26694	3.99168	0.0862763	164.985	38.8296	50.8101	0
"vptree: triangle inequality"	0.406713	3.54219	14.882	0.0167042	42.3963	212.27	211.934	16
"multiprobe lsh"	0.0202422	864.672	1853.95	0.383016	4.45965	9.4979	2017.81	484
"permutation (incr. sorting)"	0.795924	1.26074	0.519236	0.196146	86	18.2099	104.651	0
"permutation (pref. index)"	0.446803	2.80781	6.95595	0.0550547	110.178	64.5613	81.2185	0
"vptree: triangle inequality"	0.402519	3.53846	13.8344	0.0167256	42.325	211.836	212.533	18
