MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"multiprobe lsh"	0.921013	1.06003	0.0880698	8.70935	88795.6	1.97358	5.60742	522
"permutation (incr. sorting)"	0.869038	1.11087	0.169378	44.9169	99816	0.383543	4.9992	12
"permutation (pref. index)"	0.361026	2.49714	2.79858	14.4038	78936.9	1.14748	6.0635	4
"vptree: triangle inequality"	0.97526	1.01816	0.0270512	20.5717	401319	0.837139	1.24347	64
"multiprobe lsh"	0.79141	1.1909	0.29042	4.23925	41213.5	4.05587	12.0952	530
"permutation (incr. sorting)"	0.847905	1.13193	0.203981	40.946	88727	0.420729	5.62399	12
"permutation (pref. index)"	0.267726	3.27645	4.30139	8.27453	45795.1	2.07328	10.833	4
"vptree: triangle inequality"	0.772108	1.2058	0.308117	9.80022	182624	1.75701	2.73292	64
"multiprobe lsh"	0.76416	1.23104	0.362367	3.85625	37670.4	4.46108	13.236	533
"permutation (incr. sorting)"	0.823577	1.15724	0.240954	37.1607	77638	0.463423	6.42726	12
"permutation (pref. index)"	0.188091	4.91389	8.74968	4.48454	24623.1	3.86657	20.3361	4
"vptree: triangle inequality"	0.745227	1.2668	0.445326	9.49149	181699	1.8138	2.74633	64
"multiprobe lsh"	0.662237	1.37863	0.603623	2.50357	23444.4	6.79058	20.9553	539
"permutation (incr. sorting)"	0.787086	1.19879	0.30939	33.1057	66549	0.520759	7.49823	12
"permutation (pref. index)"	0.117495	8.01469	16.5044	2.06285	11389.8	8.3936	43.9725	4
"vptree: triangle inequality"	0.595356	1.51404	0.858361	4.66528	84019.2	3.69229	5.93875	64
"multiprobe lsh"	0.555783	1.62067	1.04646	1.70707	15513.3	10.0717	32.1564	543
"permutation (incr. sorting)"	0.77376	1.2177	0.342631	29.2116	55460	0.589181	8.99748	12
"permutation (pref. index)"	0.0723391	13.3022	28.9733	0.966929	5409.99	17.7841	92.2446	4
"vptree: triangle inequality"	0.453559	1.89904	1.5898	2.84042	50352.8	6.04916	9.90522	64
"multiprobe lsh"	0.44373	1.96182	1.68647	1.12972	9333.86	15.1984	53.4243	551
"permutation (incr. sorting)"	0.714273	1.30608	0.501155	25.2416	44371	0.682009	11.2461	12
"permutation (pref. index)"	0.0520098	20.711	51.1301	0.487493	2736.65	34.8372	179.792	3
"vptree: triangle inequality"	0.315833	2.54547	2.70724	1.42749	23794.2	12.0408	20.9802	64
"multiprobe lsh"	0.311756	2.7737	3.29565	0.69299	4886.4	24.775	102.167	560
"permutation (incr. sorting)"	0.659693	1.38421	0.613412	21.2384	33282	0.809612	14.9931	12
"permutation (pref. index)"	0.0313471	36.1924	101.303	0.254031	1421.45	68.8343	356.213	4
"vptree: triangle inequality"	0.177334	4.24698	5.9439	0.635759	10045.7	26.9779	49.6501	65
"multiprobe lsh"	0.202054	4.50463	7.19123	0.43173	2315.02	39.7498	215.532	571
"permutation (incr. sorting)"	0.56924	1.5747	0.951486	17.5275	22193	0.980998	22.4846	12
"permutation (pref. index)"	0.018798	71.9966	205.298	0.120696	682.022	140.399	722.185	3
"vptree: triangle inequality"	0.102549	8.35857	15.1884	0.246633	3622.32	69.4998	137.733	64
"multiprobe lsh"	0.0715104	15.5381	39.1895	0.27883	649.975	61.3068	757.032	588
"permutation (incr. sorting)"	0.436789	2.03904	1.90115	13.425	11104	1.2869	44.9388	12
"permutation (pref. index)"	0.0101478	128.645	396.672	0.0586822	328.754	292.07	1514.45	4
"vptree: triangle inequality"	0.05151	17.0632	39.6674	0.104799	1419.94	164.06	351.495	64
