MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"bbtree"	0.498811	5.47084	68.0834	1.07971	6830.08	12.7813	14.4647	24
"permutation (incr. sorting)"	0.429951	5.00761	24.6779	3.05682	2491	4.51583	39.7431	1
"permutation (pref. index)"	1	1	0	36.1709	99016	0.384408	0.999838	0
"permutation (vptree)"	0.428804	4.88043	24.921	2.74877	2491	5.04625	39.7431	5
"vptree: triangle inequality"	0.765048	1.31384	0.686858	3.42919	23472.1	4.02182	4.21119	20
"bbtree"	0.436794	8.09378	105.218	0.544861	3421.02	24.1167	28.9573	24
"permutation (incr. sorting)"	0.387987	7.20163	48.9442	2.42631	1253	5.52491	79.0104	1
"permutation (pref. index)"	0.922521	1.16997	1.24035	26.8925	72893.1	0.503485	1.38272	0
"permutation (vptree)"	0.358339	7.8816	44.999	1.6127	1253	8.29026	79.0104	5
"vptree: triangle inequality"	0.584237	1.7944	2.26679	2.03283	13720.6	6.53082	7.20545	20
"bbtree"	0.373974	12.6079	170.031	0.268538	1722.75	51.5891	57.3517	24
"permutation (incr. sorting)"	0.326217	11.2868	79.9939	2.02101	634	6.92688	156.151	1
"permutation (pref. index)"	0.589633	2.49011	8.95274	7.6222	20886	1.76615	4.60361	0
"permutation (vptree)"	0.31306	12.0858	90.6963	0.938331	634	14.5326	156.151	5
"vptree: triangle inequality"	0.42842	2.85706	7.0444	1.18745	8067.64	11.6617	12.2641	20
"bbtree"	0.315395	18.7812	221.503	0.139665	891.069	99.0957	111.092	24
"permutation (incr. sorting)"	0.283841	16.8623	133.263	1.83269	325	7.5723	304.615	1
"permutation (pref. index)"	0.468491	3.57077	15.5193	2.67959	7605.21	4.49519	11.5227	0
"permutation (vptree)"	0.283916	17.7498	129.963	0.638807	325	21.8461	304.615	5
"vptree: triangle inequality"	0.347904	4.05244	12.7076	0.75277	5057	18.2518	19.3848	20
"bbtree"	0.281807	27.1048	325.75	0.0747418	464.209	185.217	213.229	24
"permutation (incr. sorting)"	0.249762	27.8483	212.115	1.74032	170	8.04129	582.353	1
"permutation (pref. index)"	0.388405	5.63986	33.4377	1.40062	3869.19	10.0341	25.8706	0
"permutation (vptree)"	0.244344	29.3375	241.65	0.429783	170	31.7613	582.353	5
"vptree: triangle inequality"	0.290539	5.64061	21.3647	0.494391	3325.23	27.9273	29.6412	20
"bbtree"	0.244415	40.1662	457.987	0.0421555	254.215	328.688	389.334	24
"permutation (incr. sorting)"	0.23109	39.4879	334.411	1.67496	93	8.35139	1064.52	1
"permutation (pref. index)"	0.300717	11.304	72.799	0.649203	1856.36	21.39	53.2032	0
"permutation (vptree)"	0.232021	39.3625	325.936	0.30744	93	44.5333	1064.52	5
"vptree: triangle inequality"	0.232422	9.02477	39.6444	0.304204	1960.91	45.3903	49.993	20
"bbtree"	0.213196	59.3812	634.637	0.0266611	151.926	479.895	651.644	24
"permutation (incr. sorting)"	0.203751	64.7171	553.306	1.64362	54	8.50958	1833.33	1
"permutation (pref. index)"	0.264024	17.6438	128.87	0.273258	823.588	50.5388	118.348	0
"permutation (vptree)"	0.190633	69.1126	575.422	0.190448	54	72.1363	1833.33	5
"vptree: triangle inequality"	0.198249	14.5294	75.3008	0.156422	1028.73	88.2379	95.7254	20
"bbtree"	0.195642	78.1564	789.181	0.0185759	102.235	745.892	967.874	24
"permutation (incr. sorting)"	0.178833	101.345	889.95	1.67556	35	8.34645	2828.57	1
"permutation (pref. index)"	0.224262	31.8437	243.946	0.106597	322.508	123.437	287.76	0
"permutation (vptree)"	0.177771	107.274	912.723	0.194419	35	70.7195	2828.57	5
"vptree: triangle inequality"	0.168627	24.5088	134.863	0.0765943	485.461	180	203.249	20
"bbtree"	0.183759	106.028	1053.18	0.0134959	71.1393	1024.71	1390.97	24
"permutation (incr. sorting)"	0.182437	103.228	949.811	1.60963	35	8.68803	2828.57	1
"permutation (pref. index)"	0.206641	55.1006	487.481	0.054546	178.383	246.516	532.293	0
"permutation (vptree)"	0.169848	108.436	950.784	0.182874	35	76.4945	2828.57	5
"vptree: triangle inequality"	0.139931	65.1962	389.609	0.0208168	127.231	664.4	774.681	20
