MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"bbtree"	0.849381	1.26997	1.70739	3.10554	8826.15	3.52129	11.2382	23
"permutation (incr. sorting)"	0.592577	2.06885	4.55453	2.96402	2491	3.67829	39.7431	1
"permutation (pref. index)"	1	1	0	34.9949	99016	0.309881	0.999838	0
"permutation (vptree)"	0.609283	1.9723	3.68094	2.38069	2491	4.58406	39.7431	5
"vptree: triangle inequality"	0.736505	1.34834	0.802243	2.18824	17970.9	4.96535	5.48124	20
"bbtree"	0.820829	1.34859	2.88946	1.5258	4583.51	7.16103	21.6111	23
"permutation (incr. sorting)"	0.539933	2.49161	7.13997	2.40924	1253	4.50495	79.0104	1
"permutation (pref. index)"	0.923555	1.12178	0.545669	25.8212	73239.5	0.429479	1.37098	0
"permutation (vptree)"	0.515433	2.68626	8.80953	1.26154	1253	8.60634	79.0104	5
"vptree: triangle inequality"	0.553661	1.83786	2.05326	1.02332	8342.89	10.6308	11.8064	20
"bbtree"	0.777571	1.49317	3.96834	0.720886	2322.57	15.2046	42.6203	23
"permutation (incr. sorting)"	0.451722	3.65616	17.4013	2.09393	634	5.25442	156.151	1
"permutation (pref. index)"	0.713948	1.68932	3.37576	6.75093	19029.6	1.50605	4.80128	0
"permutation (vptree)"	0.458367	3.55811	17.8349	0.761576	634	14.339	156.151	5
"vptree: triangle inequality"	0.425514	2.54062	4.97298	0.532355	4302.01	20.3203	22.7395	20
"bbtree"	0.725486	1.63923	4.83633	0.338543	1182.39	32.2635	83.7017	23
"permutation (incr. sorting)"	0.388122	5.34304	35.0789	1.69474	325	6.32504	304.615	1
"permutation (pref. index)"	0.572757	2.36301	8.33521	1.99757	5782.34	4.9948	15.7045	0
"permutation (vptree)"	0.392563	4.96833	32.75	0.457081	325	23.8204	304.615	5
"vptree: triangle inequality"	0.378446	3.07143	7.34413	0.283229	2262.12	38.4736	43.6574	20
"bbtree"	0.668264	1.9115	9.34836	0.167693	602.599	63.4577	164.409	23
"permutation (incr. sorting)"	0.323664	8.39058	75.182	1.64664	170	6.47552	582.353	1
"permutation (pref. index)"	0.499956	2.94478	13.4349	1.25893	3712.58	8.64854	27.1741	0
"permutation (vptree)"	0.333797	7.74501	69.1153	0.295777	170	35.9613	582.353	5
"vptree: triangle inequality"	0.328946	3.83598	10.1466	0.197931	1576.05	53.432	62.4442	20
"bbtree"	0.598448	2.36539	14.6104	0.0875891	311.637	121.456	317.689	23
"permutation (incr. sorting)"	0.283491	13.2387	141.69	1.54338	93	6.75366	1064.52	1
"permutation (pref. index)"	0.434819	4.3053	28.3301	0.645216	1922.07	16.3539	50.9979	0
"permutation (vptree)"	0.290416	12.1955	121.595	0.194407	93	53.2369	1064.52	5
"vptree: triangle inequality"	0.256383	6.20713	22.2125	0.096827	751.074	109.346	131.453	20
"bbtree"	0.546249	2.91563	23.3513	0.0511139	169.225	208.024	585.098	23
"permutation (incr. sorting)"	0.235212	21.323	240.583	1.58861	54	6.72163	1833.33	1
"permutation (pref. index)"	0.336592	7.98025	67.3478	0.288266	904.086	37.0667	109.757	0
"permutation (vptree)"	0.220863	24.8981	253.955	0.118044	54	87.6592	1833.33	5
"vptree: triangle inequality"	0.220622	8.93846	38.0853	0.0540408	412.357	197.042	239.731	20
"bbtree"	0.483983	3.82148	38.1192	0.035279	101.25	307.89	976.508	23
"permutation (incr. sorting)"	0.203498	40.841	489.466	1.62016	35	6.75532	2828.57	1
"permutation (pref. index)"	0.275853	12.9288	133.745	0.119131	371.796	90.2452	251.284	0
"permutation (vptree)"	0.199462	39.9439	565.125	0.0990822	35	109.293	2828.57	5
"vptree: triangle inequality"	0.18935	15.6129	90.3809	0.0214684	158.196	506.685	624.438	20
"bbtree"	0.426541	4.9318	60.5582	0.0304727	69.7062	354.608	1417.41	23
"permutation (incr. sorting)"	0.208088	36.5395	443.557	1.60264	35	6.84709	2828.57	1
"permutation (pref. index)"	0.259208	19.174	223.965	0.0762992	287.829	126.178	297.657	0
"permutation (vptree)"	0.192235	39.9956	490.931	0.0847189	35	124.747	2828.57	5
"vptree: triangle inequality"	0.145626	49.1819	391.23	0.0080668	58.9036	1330.65	1680.1	20
