MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"bbtree"	0.99686	1.0019	0.00217619	15.3669	7904.79	0.459409	1.13898	17
"permutation (incr. sorting)"	0.788807	1.3008	0.693003	0.493528	331	14.2278	27.1903	0
"permutation (pref. index)"	0.913817	1.10829	0.234194	7.14713	6563.2	1.02061	1.42315	0
"permutation (vptree)"	0.778133	1.31684	0.75659	0.469327	331	14.9289	27.1903	0
"vptree: triangle inequality"	0.965399	1.0292	0.04765	2.30505	2930.06	3.04275	3.06561	30
"bbtree"	0.912765	1.10813	0.253444	7.02965	3872.91	1.00198	2.32555	17
"permutation (incr. sorting)"	0.691491	1.58379	1.6164	0.323452	173	21.7216	52.0231	0
"permutation (pref. index)"	0.681339	1.58833	1.7794	2.62207	2423.04	2.62576	3.64078	0
"permutation (vptree)"	0.677399	1.62134	1.79158	0.261239	173	26.9203	52.0231	0
"vptree: triangle inequality"	0.875481	1.11344	0.182045	1.35655	1730.65	5.17912	5.20012	26
"bbtree"	0.824166	1.25912	0.758678	3.36341	1918.45	2.09506	4.68504	17
"permutation (incr. sorting)"	0.602838	2.0728	3.89897	0.238777	94	29.3563	95.7447	0
"permutation (pref. index)"	0.518361	2.23036	3.96532	0.846974	792.202	7.75297	10.6033	0
"permutation (vptree)"	0.589722	2.07516	3.62335	0.150335	94	46.7257	95.7447	0
"vptree: triangle inequality"	0.739807	1.29484	0.512648	0.85366	1089.8	8.2203	8.24174	15
"bbtree"	0.740536	1.48776	1.65547	1.61597	954.828	4.34805	9.43396	17
"permutation (incr. sorting)"	0.509251	2.80064	7.70457	0.193764	55	36.2288	163.636	0
"permutation (pref. index)"	0.397633	3.27795	8.39694	0.38414	362.587	17.2198	23.4556	0
"permutation (vptree)"	0.531353	2.682	7.16318	0.0948367	55	72.8219	163.636	0
"vptree: triangle inequality"	0.640615	1.50244	0.980967	0.666119	852.598	10.4889	10.5088	15
"bbtree"	0.66819	1.80485	4.00589	0.792239	484.547	8.91298	18.5442	17
"permutation (incr. sorting)"	0.411174	4.51184	17.66	0.175621	35	40.2119	257.143	0
"permutation (pref. index)"	0.279717	5.34915	16.7906	0.201157	193.301	34.9487	46.5099	0
"permutation (vptree)"	0.40811	4.66275	17.3567	0.0610339	35	113.182	257.143	0
"vptree: triangle inequality"	0.52794	1.89756	2.12782	0.361968	463.897	19.1309	19.0835	15
"bbtree"	0.602837	2.26068	7.25554	0.446237	262.537	15.7307	34.3541	17
"permutation (incr. sorting)"	0.339391	7.59676	39.8525	0.162012	25	43.3416	360	0
"permutation (pref. index)"	0.2061	9.7532	41.0257	0.0896646	90.3219	78.0011	99.361	0
"permutation (vptree)"	0.335135	7.78779	43.8511	0.0476088	25	142.446	360	0
"vptree: triangle inequality"	0.469384	2.25303	3.29583	0.241622	311.44	28.8996	28.7611	30
"bbtree"	0.54509	2.77649	11.6384	0.25445	142.645	27.4724	62.9664	17
"permutation (incr. sorting)"	0.268836	14.8185	106.375	0.156351	20	44.8922	450	0
"permutation (pref. index)"	0.156447	17.016	91.8175	0.0474378	51.402	139.628	165.559	0
"permutation (vptree)"	0.25784	15.8683	114.579	0.0368114	20	189.674	450	0
"vptree: triangle inequality"	0.383654	3.32776	8.05595	0.13291	171.522	52.4637	52.159	15
"bbtree"	0.516504	3.42106	17.006	0.187332	90.9379	36.9026	98.8498	17
"permutation (incr. sorting)"	0.174065	37.9862	276.066	0.152278	18	45.9779	500	0
"permutation (pref. index)"	0.111782	35.6881	221.576	0.0275091	32.8602	242.174	259.751	0
"permutation (vptree)"	0.186842	34.6798	270.02	0.0308277	18	224.508	500	0
"vptree: triangle inequality"	0.271773	7.06796	27.7552	0.0567782	73.3129	123.128	122.733	30
"bbtree"	0.494559	4.03743	23.8317	0.151509	59.0963	46.1935	152.17	17
"permutation (incr. sorting)"	0.113794	98.2081	646.423	0.155674	17	45.2987	529.412	0
"permutation (pref. index)"	0.0974831	59.5389	473.41	0.0251944	30.9349	276.303	283.759	0
"permutation (vptree)"	0.114643	98.426	711.997	0.0264645	17	261.828	529.412	0
"vptree: triangle inequality"	0.199821	13.4606	54.2537	0.0326327	42.2937	214.206	212.722	15
