MethodName	Recall	RelPosError	NumCloser	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem
"multiprobe lsh"	0.841	1.75482	155.585	0.175666	407.59	28.7457	242.891	1311
"permutation (incr. sorting)"	0.987	1.01039	0.017	3.2581	4966	1.55199	19.9356	6
"permutation (pref. index)"	0.982	1.01651	0.033	14.978	86464.7	0.337671	1.14498	1
"permutation (vptree)"	0.976	1.02048	0.034	2.29866	4966	2.2	19.9356	65
"vptree: triangle inequality"	0.989	1.00835	0.013	0.152358	2809.41	33.1207	35.2387	11
"multiprobe lsh"	0.682	4.02109	362.76	0.239292	144.582	21.1492	684.733	1330
"permutation (incr. sorting)"	0.833	1.1823	0.37	2.42123	2491	2.09201	39.7431	6
"permutation (pref. index)"	0.869	1.14561	0.323	4.94983	30732.2	1.02345	3.22138	1
"permutation (vptree)"	0.928	1.0675	0.126	1.29913	2491	3.89904	39.7431	61
"vptree: triangle inequality"	0.796	1.19392	0.309	0.037756	676.767	133.422	146.284	15
"multiprobe lsh"	0.591	7.2084	533.787	0.155927	102.994	32.6302	961.221	1333
"permutation (incr. sorting)"	0.9	1.09863	0.18	2.05612	1253	2.47856	79.0104	6
"permutation (pref. index)"	0.758	1.31247	0.703	1.65697	10806.4	3.07547	9.16125	1
"permutation (vptree)"	0.935	1.05903	0.103	0.762129	1253	6.68585	79.0104	52
"vptree: triangle inequality"	0.668	1.43076	0.77	0.024812	443.046	204.056	223.453	24
"multiprobe lsh"	0.449	18.9444	826.703	0.231908	72.175	21.9082	1371.67	1341
"permutation (incr. sorting)"	0.802	1.24558	0.688	1.9517	634	2.60636	156.151	6
"permutation (pref. index)"	0.649	1.58492	1.372	0.43589	3302.18	11.6609	29.9802	1
"permutation (vptree)"	0.83	1.20157	0.832	0.366203	634	13.8823	156.151	61
"vptree: triangle inequality"	0.592	1.64219	1.289	0.013581	226.721	369.662	436.66	16
"multiprobe lsh"	0.277	75.1659	1119.98	0.187669	57.444	27.2248	1723.42	1345
"permutation (incr. sorting)"	0.633	1.61231	2.099	1.64498	325	3.10942	304.615	6
"permutation (pref. index)"	0.589	1.76844	2.034	0.29321	2234.89	17.4271	44.2974	1
"permutation (vptree)"	0.719	1.40933	1.178	0.241552	325	21.161	304.615	148
"vptree: triangle inequality"	0.346	3.38206	17.859	0.006165	92.369	812.093	1071.79	0
"multiprobe lsh"	0.175	214.655	1507.87	0.187413	53.664	27.4728	1844.81	1348
"permutation (incr. sorting)"	0.522	1.97397	3.252	1.48774	170	3.46521	582.353	6
"permutation (pref. index)"	0.483	2.22223	4.102	0.121481	942.016	42.3512	105.094	1
"permutation (vptree)"	0.586	1.77875	2.403	0.12899	170	39.8957	582.353	36
"vptree: triangle inequality"	0.302	4.92844	161.661	0.0042	58.81	1193.37	1683.39	40
"multiprobe lsh"	0.086	554.266	1799.37	0.200335	50.607	25.6027	1956.25	1350
"permutation (incr. sorting)"	0.35	3.51508	11.298	1.54625	93	3.32081	1064.52	6
"permutation (pref. index)"	0.448	2.60498	8.544	0.121171	1042.67	42.2855	94.9487	1
"permutation (vptree)"	0.393	2.73692	6.297	0.074085	93	69.1387	1064.52	103
"vptree: triangle inequality"	0.266	6.02388	119.987	0.004238	58.655	1170.6	1687.84	0
"multiprobe lsh"	0.048	796.903	1948.25	0.266739	49.531	19.2239	1998.75	1351
"permutation (incr. sorting)"	0.344	3.59289	12.83	1.59477	54	3.21821	1833.33	6
"permutation (pref. index)"	0.434	2.81772	8.537	0.096773	954.791	52.8862	103.688	1
"permutation (vptree)"	0.286	4.90104	25.664	0.049613	54	103.06	1833.33	38
"vptree: triangle inequality"	0.265	5.85605	75.042	0.004217	58.973	1176.62	1678.73	37
"multiprobe lsh"	0.014	1064.94	2001.71	0.174256	49.16	29.2772	2013.83	1352
"permutation (incr. sorting)"	0.156	10.7855	57.625	1.51602	35	3.37048	2828.57	6
"permutation (pref. index)"	0.346	3.59288	10.117	0.073111	684.441	69.6973	144.644	1
"permutation (vptree)"	0.189	8.06995	89.086	0.034785	35	146.174	2828.57	59
"vptree: triangle inequality"	0.267	5.58608	79.884	0.004189	58.458	1180.64	1693.52	17
