MethodName	Recall	PrecisionOfApprox	RelPosError	NumCloser	ClassAccuracy	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem	MethodParams	NumData
"permutation (vptree)"	0.80395	0.840292	1.24567	0.3475	0	4.8889	1661	3.96875	6.92354	45	"numPivot=128,dbScanFrac=0.133333333333333,alphaLeft=3,alphaRight=3"	11500
"permutation (incr. sorting)"	0.8141	0.852429	1.22165	0.273	0	4.72351	1661	4.10652	6.92354	45	"numPivot=128,dbScanFrac=0.133333333333333"	11500
"small_world_rand"	0.9535	0.963836	1.04947	0.0675	0	4.62143	1699.36	4.19593	6.76744	45	"NN=15,initIndexAttempts=4,initSearchAttempts=3,indexThreadQty=4"	11500
"permutation (inverted index over neighboring pivots)"	0.813	0.846307	1.26311	0.6175	0	2.6534	1444.45	7.30335	7.9618	45	"numPivot=1024,numPrefix=18,useSort=0,invProcAlg=scan,minTimes=4,indexThreadQty=4,chunkIndexSize=32768"	11500
"permutation (vptree)"	0.8147	0.849913	1.22991	0.3115	0	9.66214	3328	3.77113	7.21154	85	"numPivot=128,dbScanFrac=0.133333333333333,alphaLeft=3,alphaRight=3"	24000
"permutation (incr. sorting)"	0.8177	0.854663	1.21815	0.2615	0	9.15846	3328	3.97795	7.21154	85	"numPivot=128,dbScanFrac=0.133333333333333"	24000
"small_world_rand"	0.94855	0.956425	1.05953	0.1455	0	5.15144	1938.42	7.07094	12.381	85	"NN=15,initIndexAttempts=4,initSearchAttempts=3,indexThreadQty=4"	24000
"permutation (inverted index over neighboring pivots)"	0.8292	0.859949	1.23264	0.4685	0	3.57918	1921.86	10.1792	12.4806	85	"numPivot=1024,numPrefix=18,useSort=0,invProcAlg=scan,minTimes=4,indexThreadQty=4,chunkIndexSize=32768"	24000
"permutation (vptree)"	0.8172	0.849312	1.23191	0.341	0	18.5065	6661	3.40114	7.35625	146	"numPivot=128,dbScanFrac=0.133333333333333,alphaLeft=3,alphaRight=3"	49000
"permutation (incr. sorting)"	0.7952	0.832566	1.26719	0.366	0	13.4245	5028	4.68852	9.74543	146	"numPivot=128,dbScanFrac=0.1"	49000
