MethodName	Recall	PrecisionOfApprox	RelPosError	NumCloser	ClassAccuracy	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem	MethodParams	NumData
"permutation binarized (incr. sorting)"	0.8165	0.826384	1.27257	0.252	0	37.7927	4255	94.4156	234.971	42	"numPivot=256,dbScanFrac=0.004,binThreshold=128"	999800
"permutation binarized (incr. sorting)"	0.9336	0.936078	1.08159	0.091	0	77.659	14253	45.9033	70.1466	30	"numPivot=256,dbScanFrac=0.014,binThreshold=128"	999800
"permutation binarized (incr. sorting)"	0.9547	0.957526	1.05222	0.058	0	101.553	20252	35.0995	49.368	30	"numPivot=256,dbScanFrac=0.02,binThreshold=128"	999800
"permutation binarized (incr. sorting)"	0.9718	0.973852	1.03119	0.033	0	141.327	30250	25.2236	33.0512	30	"numPivot=256,dbScanFrac=0.03,binThreshold=128"	999800
"permutation binarized (incr. sorting)"	0.9805	0.981913	1.02123	0.027	0	181.011	40248	19.6952	24.841	30	"numPivot=256,dbScanFrac=0.04,binThreshold=128"	999800
"permutation binarized (incr. sorting)"	0.9869	0.986696	1.01553	0.021	0	220.761	50246	16.1498	19.8981	30	"numPivot=256,dbScanFrac=0.05,binThreshold=128"	999800
"permutation (inverted index over neighboring pivots)"	0.8324	0.838652	1.24376	0.264	0	47.6746	8984	74.7721	111.287	88	"numPivot=1000,numPivotIndex=25,numPivotSearch=2,indexThreadQty=4,useSort=1,dbScanFrac=0.0005"	999800
"permutation (inverted index over neighboring pivots)"	0.899	0.902982	1.13056	0.158	0	79.3952	16984	44.9019	58.8672	30	"numPivot=1000,numPivotIndex=25,numPivotSearch=2,indexThreadQty=4,useSort=1,dbScanFrac=0.001"	999800
"permutation (inverted index over neighboring pivots)"	0.9503	0.952887	1.05843	0.08	0	173.794	40952.2	20.5153	24.4152	30	"numPivot=1000,numPivotIndex=25,numPivotSearch=2,indexThreadQty=4,useSort=1,dbScanFrac=0.0025"	999800
"permutation (inverted index over neighboring pivots)"	0.9762	0.977631	1.02654	0.037	0	320.307	78754.8	11.1316	12.6954	30	"numPivot=1000,numPivotIndex=25,numPivotSearch=2,indexThreadQty=4,useSort=1,dbScanFrac=0.005"	999800
"permutation (inverted index over neighboring pivots)"	0.9919	0.990987	1.01047	0.018	0	586.491	149293	6.0773	6.70619	30	"numPivot=1000,numPivotIndex=25,numPivotSearch=2,indexThreadQty=4,useSort=1,dbScanFrac=0.01"	999800
"permutation (inverted index over neighboring pivots)"	0.994	0.993435	1.00757	0.012	0	662.577	169343	5.37592	5.90672	30	"numPivot=1000,numPivotIndex=25,numPivotSearch=2,indexThreadQty=4,useSort=1,dbScanFrac=0.015"	999800
"projection (perm) incr. sorting"	0.9395	0.942801	1.07291	0.066	0	100.178	10126	35.5891	98.7359	518	"projType=perm,intermDim=0,projDim=128,dbScanFrac=0.01,useCosine=0"	999800
"projection (perm) incr. sorting"	0.9677	0.971808	1.034	0.033	0	139.847	20124	25.4935	49.682	30	"projType=perm,intermDim=0,projDim=128,dbScanFrac=0.02,useCosine=0"	999800
"projection (perm) incr. sorting"	0.9802	0.981785	1.02142	0.017	0	179.617	30122	19.851	33.1917	30	"projType=perm,intermDim=0,projDim=128,dbScanFrac=0.03,useCosine=0"	999800
