MethodName	Recall	PrecisionOfApprox	RelPosError	NumCloser	ClassAccuracy	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem	MethodParams	NumData
"projection (rand) incr. sorting"	0.1105	0.110175	12.6389	100.905	0	20.9209	100	5.72849	9990	1105	"projType=rand,intermDim=0,projDim=8,knnAmp=10,useCosine=0"	999000
"projection (rand) incr. sorting"	0.2165	0.241122	8.1631	20.915	0	21.0964	400	5.68084	2497.5	1074	"projType=rand,intermDim=0,projDim=8,knnAmp=40,useCosine=0"	999000
"projection (rand) incr. sorting"	0.275	0.305977	5.89846	14.03	0	21.2152	600	5.64904	1665	1074	"projType=rand,intermDim=0,projDim=8,knnAmp=60,useCosine=0"	999000
"projection (rand) incr. sorting"	0.3565	0.397032	3.98476	9.335	0	21.4566	1000	5.58549	999	1074	"projType=rand,intermDim=0,projDim=8,knnAmp=100,useCosine=0"	999000
"projection (rand) incr. sorting"	0.593	0.65094	1.81029	1.27	0	23.3147	4000	5.14029	249.75	1074	"projType=rand,intermDim=0,projDim=8,knnAmp=400,useCosine=0"	999000
"projection (rand) incr. sorting"	0.669	0.71856	1.56558	1.1	0	24.5173	6000	4.88814	166.5	1074	"projType=rand,intermDim=0,projDim=8,knnAmp=600,useCosine=0"	999000
"projection (rand) incr. sorting"	0.754	0.799484	1.35252	0.375	0	26.9715	10000	4.44338	99.9	1074	"projType=rand,intermDim=0,projDim=8,knnAmp=1000,useCosine=0"	999000
"projection (rand) incr. sorting"	0.946	0.959593	1.05328	0.055	0	44.7757	40000	2.67664	24.975	1074	"projType=rand,intermDim=0,projDim=8,knnAmp=4000,useCosine=0"	999000
"projection (perm) incr. sorting"	0.0175	0.0187584	10.5275	259.425	0	20.8764	108	5.7407	9250	1105	"projType=perm,intermDim=0,projDim=8,knnAmp=10,useCosine=0"	999000
"projection (perm) incr. sorting"	0.054	0.0659569	23.3172	66.54	0	21.0529	408	5.69257	2448.53	1074	"projType=perm,intermDim=0,projDim=8,knnAmp=40,useCosine=0"	999000
"projection (perm) incr. sorting"	0.0745	0.0907898	19.4434	37.115	0	21.1575	608	5.66442	1643.09	1074	"projType=perm,intermDim=0,projDim=8,knnAmp=60,useCosine=0"	999000
"projection (perm) incr. sorting"	0.1115	0.136595	13.2927	21.91	0	21.3939	1008	5.60182	991.071	1074	"projType=perm,intermDim=0,projDim=8,knnAmp=100,useCosine=0"	999000
"projection (perm) incr. sorting"	0.2895	0.344687	4.12892	4.375	0	23.0803	4008	5.19249	249.251	1074	"projType=perm,intermDim=0,projDim=8,knnAmp=400,useCosine=0"	999000
"projection (perm) incr. sorting"	0.3615	0.420635	3.1409	2.625	0	24.1001	6008	4.97276	166.278	1074	"projType=perm,intermDim=0,projDim=8,knnAmp=600,useCosine=0"	999000
"projection (perm) incr. sorting"	0.471	0.533069	2.25977	1.445	0	26.0637	10008	4.59813	99.8201	1074	"projType=perm,intermDim=0,projDim=8,knnAmp=1000,useCosine=0"	999000
"projection (perm) incr. sorting"	0.782	0.832185	1.25887	0.275	0	39.9534	40008	2.99968	24.97	1074	"projType=perm,intermDim=0,projDim=8,knnAmp=4000,useCosine=0"	999000
"projection (rand) incr. sorting"	0.411	0.453212	3.3273	3.23	0	20.5163	100	5.84147	9990	1135	"projType=rand,projDim=16,knnAmp=10"	999000
"projection (rand) incr. sorting"	0.6335	0.683689	1.6881	0.595	0	20.6763	400	5.79627	2497.5	1074	"projType=rand,projDim=16,knnAmp=40"	999000
"projection (rand) incr. sorting"	0.705	0.754099	1.46549	0.405	0	20.7955	600	5.76301	1665	1074	"projType=rand,projDim=16,knnAmp=60"	999000
"projection (rand) incr. sorting"	0.778	0.823102	1.29054	0.245	0	21.036	1000	5.69709	999	1074	"projType=rand,projDim=16,knnAmp=100"	999000
"projection (rand) incr. sorting"	0.9185	0.94316	1.07199	0.05	0	22.8741	4000	5.23928	249.75	1074	"projType=rand,projDim=16,knnAmp=400"	999000
"projection (rand) incr. sorting"	0.9455	0.965871	1.04146	0.02	0	24.1145	6000	4.96978	166.5	1074	"projType=rand,projDim=16,knnAmp=600"	999000
"projection (rand) incr. sorting"	0.977	0.98894	1.01249	0	0	26.4878	10000	4.52451	99.9	1074	"projType=rand,projDim=16,knnAmp=1000"	999000
"projection (rand) incr. sorting"	0.997	0.999244	1.0008	0	0	44.006	40000	2.72344	24.975	1074	"projType=rand,projDim=16,knnAmp=4000"	999000
"projection (rand) incr. sorting"	0.691	0.759433	1.42332	0.225	0	25.8238	100	4.64094	9990	1196	"projType=rand,intermDim=0,projDim=32,knnAmp=10,useCosine=0"	999000
"projection (rand) incr. sorting"	0.8995	0.93726	1.08036	0.02	0	26.0009	400	4.60933	2497.5	1074	"projType=rand,intermDim=0,projDim=32,knnAmp=40,useCosine=0"	999000
"projection (rand) incr. sorting"	0.9355	0.961857	1.04702	0.005	0	26.112	600	4.58971	1665	1074	"projType=rand,intermDim=0,projDim=32,knnAmp=60,useCosine=0"	999000
"projection (rand) incr. sorting"	0.9635	0.97796	1.02643	0.005	0	26.3375	1000	4.5504	999	1074	"projType=rand,intermDim=0,projDim=32,knnAmp=100,useCosine=0"	999000
"projection (rand) incr. sorting"	0.9955	0.996311	1.00437	0	0	28.1035	4000	4.26443	249.75	1074	"projType=rand,intermDim=0,projDim=32,knnAmp=400,useCosine=0"	999000
"projection (rand) incr. sorting"	0.999	0.999122	1.00095	0	0	29.3534	6000	4.08284	166.5	1074	"projType=rand,intermDim=0,projDim=32,knnAmp=600,useCosine=0"	999000
"projection (rand) incr. sorting"	0.9995	0.999715	1.0003	0	0	31.6994	10000	3.78068	99.9	1074	"projType=rand,intermDim=0,projDim=32,knnAmp=1000,useCosine=0"	999000
"projection (rand) incr. sorting"	1	1	1	0	0	49.3744	40000	2.42733	24.975	1074	"projType=rand,intermDim=0,projDim=32,knnAmp=4000,useCosine=0"	999000
"projection (perm) incr. sorting"	0.354	0.397867	3.1748	1.34	0	27.4222	132	4.37045	7568.18	1196	"projType=perm,intermDim=0,projDim=32,knnAmp=10,useCosine=0"	999000
"projection (perm) incr. sorting"	0.575	0.642159	1.71015	0.505	0	27.5922	432	4.34352	2312.5	1074	"projType=perm,intermDim=0,projDim=32,knnAmp=40,useCosine=0"	999000
"projection (perm) incr. sorting"	0.646	0.712703	1.49785	0.345	0	27.7313	632	4.32172	1580.7	1074	"projType=perm,intermDim=0,projDim=32,knnAmp=60,useCosine=0"	999000
"projection (perm) incr. sorting"	0.712	0.779762	1.34305	0.27	0	27.9684	1032	4.28508	968.023	1074	"projType=perm,intermDim=0,projDim=32,knnAmp=100,useCosine=0"	999000
"projection (perm) incr. sorting"	0.889	0.921587	1.09783	0.085	0	29.8784	4032	4.01115	247.768	1074	"projType=perm,intermDim=0,projDim=32,knnAmp=400,useCosine=0"	999000
"projection (perm) incr. sorting"	0.9245	0.947099	1.06377	0.055	0	31.1102	6032	3.85231	165.617	1074	"projType=perm,intermDim=0,projDim=32,knnAmp=600,useCosine=0"	999000
"projection (perm) incr. sorting"	0.9565	0.970978	1.03382	0.035	0	33.5413	10032	3.57311	99.5813	1074	"projType=perm,intermDim=0,projDim=32,knnAmp=1000,useCosine=0"	999000
"projection (perm) incr. sorting"	0.9935	0.995323	1.0053	0.01	0	51.4311	40032	2.33028	24.955	1074	"projType=perm,intermDim=0,projDim=32,knnAmp=4000,useCosine=0"	999000
"projection (rand) incr. sorting"	0.927	0.960844	1.04706	0	0	37.1529	100	3.22583	9990	1318	"projType=rand,projDim=64,knnAmp=10"	999000
"projection (rand) incr. sorting"	0.994	0.99657	1.00373	0	0	37.2915	400	3.21384	2497.5	1074	"projType=rand,projDim=64,knnAmp=40"	999000
"projection (rand) incr. sorting"	0.9975	0.997923	1.00227	0	0	37.3384	600	3.20981	1665	1074	"projType=rand,projDim=64,knnAmp=60"	999000
"projection (rand) incr. sorting"	0.999	0.999436	1.00061	0	0	37.666	1000	3.18188	999	1074	"projType=rand,projDim=64,knnAmp=100"	999000
"projection (rand) incr. sorting"	1	1	1	0	0	39.456	4000	3.03751	249.75	1074	"projType=rand,projDim=64,knnAmp=400"	999000
"projection (rand) incr. sorting"	1	1	1	0	0	40.6326	6000	2.94954	166.5	1074	"projType=rand,projDim=64,knnAmp=600"	999000
"projection (rand) incr. sorting"	1	1	1	0	0	42.8951	10000	2.79397	99.9	1074	"projType=rand,projDim=64,knnAmp=1000"	999000
"projection (rand) incr. sorting"	1	1	1	0	0	60.4679	40000	1.98203	24.975	1074	"projType=rand,projDim=64,knnAmp=4000"	999000
"projection (rand) incr. sorting"	0.9955	0.997983	1.00222	0	0	59.354	100	2.01925	9990	1562	"projType=rand,projDim=128,knnAmp=10"	999000
"projection (rand) incr. sorting"	1	1	1	0	0	59.5243	400	2.01347	2497.5	1074	"projType=rand,projDim=128,knnAmp=40"	999000
"projection (rand) incr. sorting"	1	1	1	0	0	59.6664	600	2.00868	1665	1074	"projType=rand,projDim=128,knnAmp=60"	999000
"projection (rand) incr. sorting"	1	1	1	0	0	59.906	1000	2.00064	999	1074	"projType=rand,projDim=128,knnAmp=100"	999000
"projection (rand) incr. sorting"	1	1	1	0	0	61.7027	4000	1.94238	249.75	1074	"projType=rand,projDim=128,knnAmp=400"	999000
"projection (rand) incr. sorting"	1	1	1	0	0	62.8798	6000	1.90602	166.5	1074	"projType=rand,projDim=128,knnAmp=600"	999000
"projection (rand) incr. sorting"	1	1	1	0	0	65.2874	10000	1.83573	99.9	1074	"projType=rand,projDim=128,knnAmp=1000"	999000
