MethodName	Recall	PrecisionOfApprox	RelPosError	NumCloser	ClassAccuracy	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem	MethodParams	NumData
"projection (perm) incr. sorting"	0	0.000473455	2.52793	806.37	0	21.3964	104	164.404	9613.46	45	"projType=perm,intermDim=0,projDim=4,knnAmp=10,useCosine=0"	999800
"projection (perm) incr. sorting"	0.002	0.00273888	4.53179	548.755	0	22.5144	404	156.242	2474.75	30	"projType=perm,intermDim=0,projDim=4,knnAmp=40,useCosine=0"	999800
"projection (perm) incr. sorting"	0.004	0.00434722	5.84093	461.595	0	23.2991	604	150.979	1655.3	30	"projType=perm,intermDim=0,projDim=4,knnAmp=60,useCosine=0"	999800
"projection (perm) incr. sorting"	0.0055	0.00717343	8.82625	368.475	0	24.826	1004	141.694	995.817	30	"projType=perm,intermDim=0,projDim=4,knnAmp=100,useCosine=0"	999800
"projection (perm) incr. sorting"	0.0325	0.0403535	26.9821	92.96	0	36.3419	4004	96.7961	249.7	30	"projType=perm,intermDim=0,projDim=4,knnAmp=400,useCosine=0"	999800
"projection (perm) incr. sorting"	0.047	0.0587473	26.4366	64.96	0	44.0474	6004	79.8637	166.522	30	"projType=perm,intermDim=0,projDim=4,knnAmp=600,useCosine=0"	999800
"projection (perm) incr. sorting"	0.0735	0.092166	19.2878	40.87	0	59.4536	10004	59.1689	99.94	30	"projType=perm,intermDim=0,projDim=4,knnAmp=1000,useCosine=0"	999800
"projection (perm) incr. sorting"	0.2615	0.297383	4.95328	7.585	0	175.084	40004	20.0924	24.9925	30	"projType=perm,intermDim=0,projDim=4,knnAmp=4000,useCosine=0"	999800
"projection (perm) incr. sorting"	0.046	0.0429545	7.75036	258.82	0	22.5338	116	156.106	8618.97	91	"projType=perm,intermDim=0,projDim=16,knnAmp=10,useCosine=0"	999800
"projection (perm) incr. sorting"	0.0955	0.096973	17.2726	77.605	0	23.7473	416	148.129	2403.37	30	"projType=perm,intermDim=0,projDim=16,knnAmp=40,useCosine=0"	999800
"projection (perm) incr. sorting"	0.123	0.127459	16.5648	56.23	0	24.5299	616	143.403	1623.05	30	"projType=perm,intermDim=0,projDim=16,knnAmp=60,useCosine=0"	999800
"projection (perm) incr. sorting"	0.1575	0.166146	13.2364	31.26	0	26.0877	1016	134.841	984.055	30	"projType=perm,intermDim=0,projDim=16,knnAmp=100,useCosine=0"	999800
"projection (perm) incr. sorting"	0.305	0.328755	5.17514	8.09	0	38.0425	4016	92.4685	248.954	30	"projType=perm,intermDim=0,projDim=16,knnAmp=400,useCosine=0"	999800
"projection (perm) incr. sorting"	0.3715	0.398819	3.83036	6.09	0	46.0091	6016	76.458	166.19	30	"projType=perm,intermDim=0,projDim=16,knnAmp=600,useCosine=0"	999800
"projection (perm) incr. sorting"	0.4635	0.482613	2.84319	3.705	0	61.653	10016	57.0579	99.8203	30	"projType=perm,intermDim=0,projDim=16,knnAmp=1000,useCosine=0"	999800
