MethodName	Recall	PrecisionOfApprox	RelPosError	NumCloser	ClassAccuracy	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem	MethodParams	NumData
"projection (rand) incr. sorting"	0.084	0.081597	9.30136	158.66	0	20.7672	100	2.894	9998	518	"projType=rand,intermDim=0,projDim=8,knnAmp=10,useCosine=0"	999800
"projection (rand) incr. sorting"	0.1795	0.191634	10.4811	50.24	0	20.9014	400	2.87544	2499.5	488	"projType=rand,intermDim=0,projDim=8,knnAmp=40,useCosine=0"	999800
"projection (rand) incr. sorting"	0.2155	0.236975	8.91198	35.515	0	21.0061	600	2.8611	1666.33	488	"projType=rand,intermDim=0,projDim=8,knnAmp=60,useCosine=0"	999800
"projection (rand) incr. sorting"	0.2635	0.292997	7.17366	18.155	0	21.2217	1000	2.83203	999.8	488	"projType=rand,intermDim=0,projDim=8,knnAmp=100,useCosine=0"	999800
"projection (rand) incr. sorting"	0.421	0.481121	3.13753	3.525	0	22.7801	4000	2.63827	249.95	488	"projType=rand,intermDim=0,projDim=8,knnAmp=400,useCosine=0"	999800
"projection (rand) incr. sorting"	0.4895	0.548189	2.49577	2.42	0	23.9252	6000	2.512	166.633	488	"projType=rand,intermDim=0,projDim=8,knnAmp=600,useCosine=0"	999800
"projection (rand) incr. sorting"	0.5855	0.641402	1.91359	1.425	0	25.8439	10000	2.32551	99.98	488	"projType=rand,intermDim=0,projDim=8,knnAmp=1000,useCosine=0"	999800
"projection (rand) incr. sorting"	0.8265	0.860803	1.21353	0.265	0	40.5181	40000	1.48333	24.995	488	"projType=rand,intermDim=0,projDim=8,knnAmp=4000,useCosine=0"	999800
"projection (perm) incr. sorting"	0.019	0.0163037	11.0009	227.485	0	20.6898	108	2.90481	9257.41	518	"projType=perm,intermDim=0,projDim=8,knnAmp=10,useCosine=0"	999800
"projection (perm) incr. sorting"	0.061	0.0632532	20.8385	60.865	0	20.8255	408	2.88591	2450.49	488	"projType=perm,intermDim=0,projDim=8,knnAmp=40,useCosine=0"	999800
"projection (perm) incr. sorting"	0.082	0.0902153	18.6962	37.29	0	20.9345	608	2.87088	1644.41	488	"projType=perm,intermDim=0,projDim=8,knnAmp=60,useCosine=0"	999800
"projection (perm) incr. sorting"	0.1175	0.132736	13.9177	22.435	0	21.1266	1008	2.84477	991.865	488	"projType=perm,intermDim=0,projDim=8,knnAmp=100,useCosine=0"	999800
"projection (perm) incr. sorting"	0.2755	0.317166	4.71348	6.655	0	22.641	4008	2.65448	249.451	488	"projType=perm,intermDim=0,projDim=8,knnAmp=400,useCosine=0"	999800
"projection (perm) incr. sorting"	0.338	0.388106	3.66506	4.4	0	23.746	6008	2.53094	166.411	488	"projType=perm,intermDim=0,projDim=8,knnAmp=600,useCosine=0"	999800
"projection (perm) incr. sorting"	0.4385	0.496097	2.60182	2.39	0	25.6356	10008	2.3444	99.9001	488	"projType=perm,intermDim=0,projDim=8,knnAmp=1000,useCosine=0"	999800
"projection (perm) incr. sorting"	0.726	0.779864	1.40286	0.735	0	39.5933	40008	1.51797	24.99	488	"projType=perm,intermDim=0,projDim=8,knnAmp=4000,useCosine=0"	999800
"projection (rand) incr. sorting"	0.264	0.289747	6.58564	22.885	0	21.3244	100	2.81838	9998	549	"projType=rand,projDim=16,knnAmp=10"	999800
"projection (rand) incr. sorting"	0.436	0.492855	3.21326	3.525	0	21.4353	400	2.80381	2499.5	488	"projType=rand,projDim=16,knnAmp=40"	999800
"projection (rand) incr. sorting"	0.4975	0.554242	2.56841	2.31	0	21.5517	600	2.78867	1666.33	488	"projType=rand,projDim=16,knnAmp=60"	999800
"projection (rand) incr. sorting"	0.5635	0.624913	2.048	1.21	0	21.7553	1000	2.76257	999.8	488	"projType=rand,projDim=16,knnAmp=100"	999800
