MethodName	Recall	PrecisionOfApprox	RelPosError	NumCloser	ClassAccuracy	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem	MethodParams	NumData
"projection (perm) incr. sorting"	0.001	0.000721142	2.42983	846.19	0	48.3489	104	314.392	9613.46	633	"projType=perm,intermDim=0,projDim=4,knnAmp=10,useCosine=0"	999800
"projection (perm) incr. sorting"	0.002	0.00194555	4.03611	639.355	0	57.4099	404	264.773	2474.75	617	"projType=perm,intermDim=0,projDim=4,knnAmp=40,useCosine=0"	999800
"projection (perm) incr. sorting"	0.0025	0.00290284	4.91607	553.065	0	63.4702	604	239.492	1655.3	617	"projType=perm,intermDim=0,projDim=4,knnAmp=60,useCosine=0"	999800
"projection (perm) incr. sorting"	0.0045	0.00534313	6.55747	468.07	0	75.8296	1004	200.459	995.817	617	"projType=perm,intermDim=0,projDim=4,knnAmp=100,useCosine=0"	999800
"projection (perm) incr. sorting"	0.0215	0.0294219	25.4039	134.365	0	166.434	4004	91.3331	249.7	617	"projType=perm,intermDim=0,projDim=4,knnAmp=400,useCosine=0"	999800
"projection (perm) incr. sorting"	0.033	0.0460979	27.746	89.885	0	227.58	6004	66.7938	166.522	617	"projType=perm,intermDim=0,projDim=4,knnAmp=600,useCosine=0"	999800
"projection (perm) incr. sorting"	0.0515	0.0743117	22.689	53.255	0	348.567	10004	43.6099	99.94	617	"projType=perm,intermDim=0,projDim=4,knnAmp=1000,useCosine=0"	999800
"projection (perm) incr. sorting"	0.2195	0.266799	6.16528	11.94	0	1258.87	40004	12.0752	24.9925	617	"projType=perm,intermDim=0,projDim=4,knnAmp=4000,useCosine=0"	999800
"projection (perm) incr. sorting"	0.102	0.117906	16.0149	22.39	0	45.1954	116	336.327	8618.97	678	"projType=perm,intermDim=0,projDim=16,knnAmp=10,useCosine=0"	999800
"projection (perm) incr. sorting"	0.248	0.282304	5.20899	4.65	0	54.3353	416	279.754	2403.37	617	"projType=perm,intermDim=0,projDim=16,knnAmp=40,useCosine=0"	999800
