MethodName	Recall	PrecisionOfApprox	RelPosError	NumCloser	ClassAccuracy	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem	MethodParams	NumData
"projection (rand) incr. sorting"	0.002	0.00119881	2.25214	870.895	0	25.7164	100	23.0609	9998	1355	"projType=rand,intermDim=4096,projDim=4,knnAmp=10,useCosine=1"	999800
"projection (rand) incr. sorting"	0.0055	0.00406597	3.02651	633.78	0	26.0483	400	22.7672	2499.5	1339	"projType=rand,intermDim=4096,projDim=4,knnAmp=40,useCosine=1"	999800
"projection (rand) incr. sorting"	0.0105	0.00863078	3.7667	531.95	0	26.2857	600	22.5617	1666.33	1339	"projType=rand,intermDim=4096,projDim=4,knnAmp=60,useCosine=1"	999800
"projection (rand) incr. sorting"	0.0175	0.014986	5.18008	413.575	0	26.8105	1000	22.1202	999.8	1339	"projType=rand,intermDim=4096,projDim=4,knnAmp=100,useCosine=1"	999800
"projection (rand) incr. sorting"	0.0505	0.051386	19.669	147.785	0	30.2755	4000	19.5885	249.95	1339	"projType=rand,intermDim=4096,projDim=4,knnAmp=400,useCosine=1"	999800
"projection (rand) incr. sorting"	0.0685	0.0726719	26.5899	95.595	0	32.5949	6000	18.1947	166.633	1339	"projType=rand,intermDim=4096,projDim=4,knnAmp=600,useCosine=1"	999800
"projection (rand) incr. sorting"	0.0985	0.107634	23.1409	63.36	0	37.1183	10000	15.9774	99.98	1339	"projType=rand,intermDim=4096,projDim=4,knnAmp=1000,useCosine=1"	999800
"projection (rand) incr. sorting"	0.231	0.2674	7.03048	13.54	0	71.065	40000	8.3455	24.995	1339	"projType=rand,intermDim=4096,projDim=4,knnAmp=4000,useCosine=1"	999800
"projection (rand) incr. sorting"	0.076	0.0690222	2.97344	510.895	0	42.2364	100	14.0416	9998	1401	"projType=rand,intermDim=4096,projDim=16,knnAmp=10,useCosine=1"	999800
"projection (rand) incr. sorting"	0.118	0.114345	4.87384	256.015	0	42.4648	400	13.9661	2499.5	1339	"projType=rand,intermDim=4096,projDim=16,knnAmp=40,useCosine=1"	999800
"projection (rand) incr. sorting"	0.1395	0.139305	5.68397	213.04	0	42.7009	600	13.8889	1666.33	1339	"projType=rand,intermDim=4096,projDim=16,knnAmp=60,useCosine=1"	999800
"projection (rand) incr. sorting"	0.168	0.171198	6.81904	145.66	0	43.1545	1000	13.743	999.8	1339	"projType=rand,intermDim=4096,projDim=16,knnAmp=100,useCosine=1"	999800
"projection (rand) incr. sorting"	0.272	0.291539	7.52062	36.825	0	46.5553	4000	12.739	249.95	1339	"projType=rand,intermDim=4096,projDim=16,knnAmp=400,useCosine=1"	999800
"projection (rand) incr. sorting"	0.3145	0.342319	6.65641	27.095	0	48.9446	6000	12.1172	166.633	1339	"projType=rand,intermDim=4096,projDim=16,knnAmp=600,useCosine=1"	999800
"projection (rand) incr. sorting"	0.3765	0.416733	4.97706	12.875	0	53.4021	10000	11.1057	99.98	1339	"projType=rand,intermDim=4096,projDim=16,knnAmp=1000,useCosine=1"	999800
"projection (rand) incr. sorting"	0.553	0.611671	2.2037	2.03	0	87.5988	40000	6.77041	24.995	1339	"projType=rand,intermDim=4096,projDim=16,knnAmp=4000,useCosine=1"	999800
"projection (rand) incr. sorting"	0.4915	0.509628	2.50195	46.175	0	57.5319	100	10.3086	9998	1585	"projType=rand,intermDim=4096,projDim=64,knnAmp=10,useCosine=1"	999800
"projection (rand) incr. sorting"	0.614	0.65315	2.07903	17.845	0	57.8733	400	10.2478	2499.5	1339	"projType=rand,intermDim=4096,projDim=64,knnAmp=40,useCosine=1"	999800
"projection (rand) incr. sorting"	0.6445	0.687842	1.94518	8.695	0	58.1178	600	10.2046	1666.33	1339	"projType=rand,intermDim=4096,projDim=64,knnAmp=60,useCosine=1"	999800
"projection (rand) incr. sorting"	0.687	0.728889	1.84288	5.44	0	58.6042	1000	10.12	999.8	1339	"projType=rand,intermDim=4096,projDim=64,knnAmp=100,useCosine=1"	999800
"projection (rand) incr. sorting"	0.787	0.828763	1.42229	1.025	0	62.1452	4000	9.5433	249.95	1339	"projType=rand,intermDim=4096,projDim=64,knnAmp=400,useCosine=1"	999800
"projection (rand) incr. sorting"	0.8155	0.85657	1.3108	0.395	0	64.4791	6000	9.19789	166.633	1339	"projType=rand,intermDim=4096,projDim=64,knnAmp=600,useCosine=1"	999800
"projection (rand) incr. sorting"	0.85	0.886485	1.21637	0.26	0	69.246	10000	8.56471	99.98	1339	"projType=rand,intermDim=4096,projDim=64,knnAmp=1000,useCosine=1"	999800
"projection (rand) incr. sorting"	0.925	0.950507	1.07647	0.08	0	104.286	40000	5.68707	24.995	1339	"projType=rand,intermDim=4096,projDim=64,knnAmp=4000,useCosine=1"	999800
"projection (rand) incr. sorting"	0.684	0.70944	1.66795	7.52	0	76.272	100	7.77582	9998	1830	"projType=rand,intermDim=4096,projDim=128,knnAmp=10,useCosine=1"	999800
"projection (rand) incr. sorting"	0.8235	0.847849	1.36928	1.235	0	76.6256	400	7.73996	2499.5	1339	"projType=rand,intermDim=4096,projDim=128,knnAmp=40,useCosine=1"	999800
"projection (rand) incr. sorting"	0.8505	0.876321	1.29379	0.14	0	76.8668	600	7.71567	1666.33	1339	"projType=rand,intermDim=4096,projDim=128,knnAmp=60,useCosine=1"	999800
"projection (rand) incr. sorting"	0.8765	0.900011	1.23605	0.12	0	77.38	1000	7.6645	999.8	1339	"projType=rand,intermDim=4096,projDim=128,knnAmp=100,useCosine=1"	999800
"projection (rand) incr. sorting"	0.922	0.944047	1.10596	0.04	0	81.1171	4000	7.31139	249.95	1339	"projType=rand,intermDim=4096,projDim=128,knnAmp=400,useCosine=1"	999800
"projection (rand) incr. sorting"	0.9315	0.952492	1.08429	0.015	0	83.5106	6000	7.10183	166.633	1339	"projType=rand,intermDim=4096,projDim=128,knnAmp=600,useCosine=1"	999800
"projection (rand) incr. sorting"	0.947	0.964722	1.05823	0.015	0	88.3674	10000	6.71152	99.98	1339	"projType=rand,intermDim=4096,projDim=128,knnAmp=1000,useCosine=1"	999800
"projection (rand) incr. sorting"	0.974	0.983245	1.02296	0.005	0	124.017	40000	4.78226	24.995	1339	"projType=rand,intermDim=4096,projDim=128,knnAmp=4000,useCosine=1"	999800
"projection (rand) incr. sorting"	0.8095	0.828126	1.2956	5.61	0	118.521	100	5.00404	9998	2320	"projType=rand,intermDim=4096,projDim=256,knnAmp=10,useCosine=1"	999800
"projection (rand) incr. sorting"	0.937	0.949803	1.1081	0.13	0	118.848	400	4.99027	2499.5	1339	"projType=rand,intermDim=4096,projDim=256,knnAmp=40,useCosine=1"	999800
"projection (rand) incr. sorting"	0.953	0.965854	1.06787	0.13	0	119.201	600	4.9755	1666.33	1339	"projType=rand,intermDim=4096,projDim=256,knnAmp=60,useCosine=1"	999800
"projection (rand) incr. sorting"	0.967	0.975801	1.04261	0.11	0	119.846	1000	4.94871	999.8	1339	"projType=rand,intermDim=4096,projDim=256,knnAmp=100,useCosine=1"	999800
"projection (rand) incr. sorting"	0.9815	0.98678	1.01972	0.005	0	123.533	4000	4.80101	249.95	1339	"projType=rand,intermDim=4096,projDim=256,knnAmp=400,useCosine=1"	999800
"projection (rand) incr. sorting"	0.988	0.991434	1.01205	0.005	0	125.947	6000	4.70897	166.633	1339	"projType=rand,intermDim=4096,projDim=256,knnAmp=600,useCosine=1"	999800
"projection (rand) incr. sorting"	0.9905	0.993536	1.00858	0.005	0	130.806	10000	4.53405	99.98	1339	"projType=rand,intermDim=4096,projDim=256,knnAmp=1000,useCosine=1"	999800
"projection (rand) incr. sorting"	0.9975	0.998347	1.00195	0.005	0	167.108	40000	3.5491	24.995	1339	"projType=rand,intermDim=4096,projDim=256,knnAmp=4000,useCosine=1"	999800
"projection (rand) incr. sorting"	0.8465	0.859095	1.18222	5.015	0	207.119	100	2.86351	9998	3300	"projType=rand,intermDim=4096,projDim=512,knnAmp=10,useCosine=1"	999800
"projection (rand) incr. sorting"	0.9715	0.97925	1.04671	0	0	206.622	400	2.8704	2499.5	1339	"projType=rand,intermDim=4096,projDim=512,knnAmp=40,useCosine=1"	999800
"projection (rand) incr. sorting"	0.983	0.989245	1.01737	0	0	207.093	600	2.86387	1666.33	1339	"projType=rand,intermDim=4096,projDim=512,knnAmp=60,useCosine=1"	999800
"projection (rand) incr. sorting"	0.991	0.993842	1.00941	0	0	207.791	1000	2.85425	999.8	1339	"projType=rand,intermDim=4096,projDim=512,knnAmp=100,useCosine=1"	999800
"projection (rand) incr. sorting"	0.996	0.997807	1.00251	0	0	211.491	4000	2.80431	249.95	1339	"projType=rand,intermDim=4096,projDim=512,knnAmp=400,useCosine=1"	999800
"projection (rand) incr. sorting"	0.9975	0.998793	1.00132	0	0	214.742	6000	2.76186	166.633	1339	"projType=rand,intermDim=4096,projDim=512,knnAmp=600,useCosine=1"	999800
"projection (rand) incr. sorting"	0.9985	0.999122	1.00095	0	0	219.998	10000	2.69588	99.98	1339	"projType=rand,intermDim=4096,projDim=512,knnAmp=1000,useCosine=1"	999800
"projection (rand) incr. sorting"	0.9995	0.999407	1.00065	0	0	257.086	40000	2.30696	24.995	1339	"projType=rand,intermDim=4096,projDim=512,knnAmp=4000,useCosine=1"	999800
"projection (rand) incr. sorting"	0.872	0.881208	1.13833	5	0	375.215	100	1.58066	9998	5261	"projType=rand,intermDim=4096,projDim=1024,knnAmp=10,useCosine=1"	999800
"projection (rand) incr. sorting"	0.984	0.987304	1.03178	0	0	375.885	400	1.57785	2499.5	1339	"projType=rand,intermDim=4096,projDim=1024,knnAmp=40,useCosine=1"	999800
"projection (rand) incr. sorting"	0.994	0.996533	1.00652	0	0	374.256	600	1.58472	1666.33	1339	"projType=rand,intermDim=4096,projDim=1024,knnAmp=60,useCosine=1"	999800
"projection (rand) incr. sorting"	0.9985	0.999343	1.00078	0	0	375.777	1000	1.5783	999.8	1339	"projType=rand,intermDim=4096,projDim=1024,knnAmp=100,useCosine=1"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	380.494	4000	1.55874	249.95	1339	"projType=rand,intermDim=4096,projDim=1024,knnAmp=400,useCosine=1"	999800
"projection (rand) incr. sorting"	1	1	1	0	0	381.082	6000	1.55633	166.633	1339	"projType=rand,intermDim=4096,projDim=1024,knnAmp=600,useCosine=1"	999800
