MethodName	Recall	PrecisionOfApprox	RelPosError	NumCloser	ClassAccuracy	QueryTime	DistComp	ImprEfficiency	ImprDistComp	Mem	MethodParams	NumData
"projection (perm) incr. sorting"	0.0005	0.000517358	2.3344	882.45	0	22.4174	104	83.9269	9613.46	991	"projType=perm,intermDim=0,projDim=4,knnAmp=10,useCosine=0"	999800
"projection (perm) incr. sorting"	0.003	0.00269719	3.8937	675.19	0	23.0629	404	81.5781	2474.75	976	"projType=perm,intermDim=0,projDim=4,knnAmp=40,useCosine=0"	999800
"projection (perm) incr. sorting"	0.006	0.00528599	4.84932	582.705	0	23.5175	604	80.0012	1655.3	976	"projType=perm,intermDim=0,projDim=4,knnAmp=60,useCosine=0"	999800
"projection (perm) incr. sorting"	0.007	0.00833654	6.32914	524.745	0	24.375	1004	77.1868	995.817	976	"projType=perm,intermDim=0,projDim=4,knnAmp=100,useCosine=0"	999800
"projection (perm) incr. sorting"	0.0325	0.0400962	12.2885	305.47	0	30.9227	4004	60.843	249.7	976	"projType=perm,intermDim=0,projDim=4,knnAmp=400,useCosine=0"	999800
"projection (perm) incr. sorting"	0.057	0.0667893	14.8021	215.215	0	35.2153	6004	53.4268	166.522	976	"projType=perm,intermDim=0,projDim=4,knnAmp=600,useCosine=0"	999800
"projection (perm) incr. sorting"	0.0815	0.0965157	15.1502	151.235	0	44.0572	10004	42.705	99.94	976	"projType=perm,intermDim=0,projDim=4,knnAmp=1000,useCosine=0"	999800
"projection (perm) incr. sorting"	0.203	0.238795	7.67521	24.01	0	110.238	40004	17.0677	24.9925	976	"projType=perm,intermDim=0,projDim=4,knnAmp=4000,useCosine=0"	999800
"projection (perm) incr. sorting"	0.079	0.0809471	11.4665	141.32	0	22.578	116	83.3302	8618.97	1037	"projType=perm,intermDim=0,projDim=16,knnAmp=10,useCosine=0"	999800
"projection (perm) incr. sorting"	0.162	0.186413	10.0921	39.1	0	23.3372	416	80.6193	2403.37	976	"projType=perm,intermDim=0,projDim=16,knnAmp=40,useCosine=0"	999800
"projection (perm) incr. sorting"	0.196	0.225113	8.40994	32.085	0	23.8669	616	78.8295	1623.05	976	"projType=perm,intermDim=0,projDim=16,knnAmp=60,useCosine=0"	999800
"projection (perm) incr. sorting"	0.2565	0.293201	6.2321	18.975	0	24.9054	1016	75.5426	984.055	976	"projType=perm,intermDim=0,projDim=16,knnAmp=100,useCosine=0"	999800
"projection (perm) incr. sorting"	0.4665	0.522484	2.77016	6.505	0	32.6285	4016	57.6621	248.954	976	"projType=perm,intermDim=0,projDim=16,knnAmp=400,useCosine=0"	999800
"projection (perm) incr. sorting"	0.522	0.5832	2.37349	3.555	0	37.7646	6016	49.8203	166.19	976	"projType=perm,intermDim=0,projDim=16,knnAmp=600,useCosine=0"	999800
"projection (perm) incr. sorting"	0.594	0.648402	1.99449	2.535	0	48.0176	10016	39.1827	99.8203	976	"projType=perm,intermDim=0,projDim=16,knnAmp=1000,useCosine=0"	999800
"projection (perm) incr. sorting"	0.7745	0.816953	1.34607	0.82	0	124.02	40016	15.171	24.985	976	"projType=perm,intermDim=0,projDim=16,knnAmp=4000,useCosine=0"	999800
"projection (perm) incr. sorting"	0.255	0.281097	6.6437	17.105	0	38.098	164	49.3851	6096.34	1220	"projType=perm,intermDim=0,projDim=64,knnAmp=10,useCosine=0"	999800
"projection (perm) incr. sorting"	0.405	0.449127	3.54397	5.89	0	38.8468	464	48.4331	2154.74	976	"projType=perm,intermDim=0,projDim=64,knnAmp=40,useCosine=0"	999800
"projection (perm) incr. sorting"	0.449	0.4956	3.02568	4.75	0	39.3624	664	47.7988	1505.72	976	"projType=perm,intermDim=0,projDim=64,knnAmp=60,useCosine=0"	999800
"projection (perm) incr. sorting"	0.5145	0.559997	2.47674	3.585	0	40.4487	1064	46.5151	939.662	976	"projType=perm,intermDim=0,projDim=64,knnAmp=100,useCosine=0"	999800
"projection (perm) incr. sorting"	0.6965	0.742658	1.58816	2.165	0	48.0712	4064	39.1393	246.014	976	"projType=perm,intermDim=0,projDim=64,knnAmp=400,useCosine=0"	999800
"projection (perm) incr. sorting"	0.757	0.796954	1.42759	1.5	0	53.0053	6064	35.4961	164.875	976	"projType=perm,intermDim=0,projDim=64,knnAmp=600,useCosine=0"	999800
"projection (perm) incr. sorting"	0.8115	0.843429	1.302	1.225	0	63.2601	10064	29.7421	99.3442	976	"projType=perm,intermDim=0,projDim=64,knnAmp=1000,useCosine=0"	999800
"projection (perm) incr. sorting"	0.941	0.952675	1.07612	0.195	0	139.622	40064	13.4758	24.9551	976	"projType=perm,intermDim=0,projDim=64,knnAmp=4000,useCosine=0"	999800
"projection (perm) incr. sorting"	0.3775	0.411384	3.96962	5.915	0	60.47	228	31.1145	4385.09	1464	"projType=perm,intermDim=0,projDim=128,knnAmp=10,useCosine=0"	999800
"projection (perm) incr. sorting"	0.531	0.586287	2.25893	1.855	0	61.2027	528	30.742	1893.56	976	"projType=perm,intermDim=0,projDim=128,knnAmp=40,useCosine=0"	999800
"projection (perm) incr. sorting"	0.579	0.636358	1.98295	1.55	0	61.7147	728	30.4869	1373.35	976	"projType=perm,intermDim=0,projDim=128,knnAmp=60,useCosine=0"	999800
"projection (perm) incr. sorting"	0.6415	0.694309	1.73012	1.31	0	62.634	1128	30.0395	886.348	976	"projType=perm,intermDim=0,projDim=128,knnAmp=100,useCosine=0"	999800
"projection (perm) incr. sorting"	0.795	0.839605	1.27388	0.33	0	70.1471	4128	26.8221	242.2	976	"projType=perm,intermDim=0,projDim=128,knnAmp=400,useCosine=0"	999800
"projection (perm) incr. sorting"	0.8355	0.875509	1.19122	0.215	0	75.2317	6128	25.0093	163.153	976	"projType=perm,intermDim=0,projDim=128,knnAmp=600,useCosine=0"	999800
"projection (perm) incr. sorting"	0.8835	0.913702	1.12676	0.175	0	85.2832	10128	22.0618	98.7164	976	"projType=perm,intermDim=0,projDim=128,knnAmp=1000,useCosine=0"	999800
"projection (perm) incr. sorting"	0.968	0.977564	1.02683	0.005	0	161.162	40128	11.6747	24.9153	976	"projType=perm,intermDim=0,projDim=128,knnAmp=4000,useCosine=0"	999800
"projection (perm) incr. sorting"	0.382	0.416089	3.78303	3.565	0	100.264	356	18.7655	2808.43	1952	"projType=perm,intermDim=0,projDim=256,knnAmp=10,useCosine=0"	999800
"projection (perm) incr. sorting"	0.5495	0.61236	2.04999	1.27	0	100.989	656	18.6309	1524.09	976	"projType=perm,intermDim=0,projDim=256,knnAmp=40,useCosine=0"	999800
"projection (perm) incr. sorting"	0.5965	0.65572	1.84738	1.19	0	101.638	856	18.5119	1167.99	976	"projType=perm,intermDim=0,projDim=256,knnAmp=60,useCosine=0"	999800
"projection (perm) incr. sorting"	0.6605	0.717305	1.60251	0.57	0	102.869	1256	18.2903	796.019	976	"projType=perm,intermDim=0,projDim=256,knnAmp=100,useCosine=0"	999800
"projection (perm) incr. sorting"	0.819	0.862187	1.22047	0.27	0	110.472	4256	17.0315	234.915	976	"projType=perm,intermDim=0,projDim=256,knnAmp=400,useCosine=0"	999800
"projection (perm) incr. sorting"	0.862	0.896921	1.15791	0.175	0	115.54	6256	16.2844	159.815	976	"projType=perm,intermDim=0,projDim=256,knnAmp=600,useCosine=0"	999800
"projection (perm) incr. sorting"	0.91	0.932767	1.09477	0.06	0	125.638	10256	14.9757	97.4844	976	"projType=perm,intermDim=0,projDim=256,knnAmp=1000,useCosine=0"	999800
